ID,Title,Link,Categories,Image,Description,Ingredients,Directions,Notes,Prep Time,Cook Time,Servings,Video,Related Products,Average Ratings,Num Ratings,Date,Order
3620,Couronnes fourrées aux canneberges,https://www.quakeroats.ca/fr/recipes/couronnes-fourrées-aux-canneberges,Desserts,Cranberry_20Filled_20Wreaths-020_02.jpg,Célébrez les Fêtes avec ce dessert aux allures festives. La pâte fraîchement cuite est garnie de séduisantes canneberges acidulées et recouverte de glaçage sucré. Ce dessert est tellement bon qu'il deviendra assurément une nouvelle tradition des Fêtes.,"1 boîte de 16 oz de sauce aux canneberges entières
1 boîte de 16 oz de préparation pour petits pains
1 tasse de gruau gros flocons Quaker® ou de gruau rapide Quaker® (non cuit)
1/4 tasse de sucre blanc granulé
1 tasse d'eau chaude (120° à 130°F)
1/4 tasse de succédané d'œuf ou 1 œuf légèrement battu
3 cuillères à table de margarine ou de beurre ramolli
1/2 tasse de noix hachées, divisée
2 cuillères à table de sucre granulé, divisées
3/4 tasse de sucre en poudre
3 à 4 cuillères à table de lait écrémé ou faible en gras
1/4 cuillère à thé de vanille
","Vaporiser deux plaques &agrave; biscuits d'un enduit antiadh&eacute;sif. Verser la sauce aux canneberges dans une passoire; remuer pour d&eacute;faire. Bien &eacute;goutter.
Dans un grand bol, combiner le contenu et la levure de la bo&icirc;te de pr&eacute;paration pour petits pains, le gruau et le quart de tasse de sucre; bien m&eacute;langer. Ajouter l'eau chaude, le succ&eacute;dan&eacute; d'&oelig;uf et la margarine; m&eacute;langer jusqu'&agrave; ce que la p&acirc;te d&eacute;colle des parois du bol.
P&eacute;trir sur une surface l&eacute;g&egrave;rement enfarin&eacute;e 5 minutes ou jusqu'&agrave; ce que la p&acirc;te soit ferme. Diviser la p&acirc;te en deux. Recouvrir une moiti&eacute;. Presser l'autre moiti&eacute; en un rectangle de 12 x 8 po sur une plaque &agrave; biscuits. Recouvrir de la moiti&eacute; de la sauce aux canneberges drain&eacute;e, du quart de tasse de noix et de 1 cuill&egrave;re &agrave; table de sucre jusqu'&agrave; 1 po du bord. Rouler la p&acirc;te sur elle-m&ecirc;me par la longueur en pin&ccedil;ant les bords et les bouts pour sceller.
Ramener la p&acirc;te pour former un cercle. Avec des cisailles de cuisine, couper le cercle presque jusqu'au centre &agrave; intervalles de 2 po. Faire une deuxi&egrave;me couronne avec le reste de la p&acirc;te. Recouvrir les deux couronnes d'une pellicule plastique, sans les serrer; laisser gonfler dans un endroit chaud pendant 30 minutes ou jusqu'&agrave; ce que la p&acirc;te ait doubl&eacute; de volume.
Pr&eacute;chauffer le four &agrave; 350 &deg;F. Retirer la pellicule plastique; cuire 23 &agrave; 28 minutes ou jusqu'&agrave; coloration dor&eacute;e. Transf&eacute;rer d&eacute;licatement sur une grille; laisser refroidir compl&egrave;tement.
Pour le gla&ccedil;age, combiner le reste des ingr&eacute;dients dans un petit bol et m&eacute;langer jusqu'&agrave; homog&eacute;n&eacute;it&eacute;. &Eacute;tendre sur chacune des couronnes. Servir chaud ou &agrave; temp&eacute;rature de la pi&egrave;ce.",Pour r&eacute;chauffer : mettre au micro-ondes &agrave; puissance &Eacute;LEV&Eacute;E de 15 &agrave; 20 secondes par portion.,,,,,"43,024,310",0,0,2015-12-10 14:56:02,274
3621,Biscuits double chocolat,https://www.quakeroats.ca/fr/recipes/biscuits-double-chocolat,Desserts,Double_20Chocolate_20Cookies-024-min_0.jpg,"Le souper est terminé. Toute la famille est autour de la table. Les assiettes sont vides. Les estomacs sont pleins, mais il reste encore un petit coin pour une sucrerie. Un dessert au chocolat c&rsquo;est bon, mais un dessert double chocolat c&rsquo;est meilleur. Une double quantité de chocolat, c&rsquo;est toujours meilleur.","2 tasses (12 oz) de brisures de chocolat mi-sucré
1 1/4 tasse de farine tout usage
2 cuillères à thé de poudre à pâte
1/4 cuillère à thé de bicarbonate de soude
1/4 cuillère à thé de sel (facultatif)
1/2 livre (2 bâtons) de margarine ou de beurre ramolli
3/4 tasse de cassonade bien tassée
1 œuf
1 cuillère à thé de vanille
2 tasses de gruau gros flocons Quaker® ou de gruau rapide Quaker® (non cuit)
","Pr&eacute;chauffer le four &agrave; 350 &deg;F.
Dans une petite casserole, faire fondre 1 tasse de brisures de chocolat &agrave; feu doux; laisser refroidir.
Dans un bol moyen, ajouter la farine, la poudre &agrave; p&acirc;te, le bicarbonate de soude et le sel; bien m&eacute;langer. Dans un grand bol, battre la margarine et la cassonade avec un malaxeur &eacute;lectrique jusqu'&agrave; consistance cr&eacute;meuse.
Incorporer le chocolat fondu, l'&oelig;uf et la vanille. Ajouter graduellement le m&eacute;lange de farine; bien m&eacute;langer. Incorporer le gruau et la tasse de brisures de chocolat restante. D&eacute;poser en portions d'une cuill&egrave;re &agrave; table comble sur une plaque &agrave; biscuits non graiss&eacute;e.
Cuire 12 &agrave; 14 minutes ou jusqu'&agrave; texture ferme. Laisser refroidir 2 minutes sur la plaque &agrave; biscuits; d&eacute;poser sur une grille. Conserver dans un contenant herm&eacute;tique.","Variantes
Barres double chocolat : Pr&eacute;chauffer le four &agrave; 375 &deg;F. Tasser la p&acirc;te uniform&eacute;ment au fond d'un moule &agrave; cuisson graiss&eacute; de 13 x 9 po. Cuire environ 25 minutes ou jusqu'&agrave; ce qu'un cure-dents ins&eacute;r&eacute; au centre en ressorte propre. Laisser refroidir compl&egrave;tement dans le moule; couper en barres. Conserver dans un contenant herm&eacute;tique. Donne 32 barres.",,,,,"43,024,310",3,2,2015-12-10 14:56:02,275
3624,Tarte à la crème aux pommes facile à préparer,https://www.quakeroats.ca/fr/recipes/tarte-à-la-crème-aux-pommes-facile-à-préparer,Desserts,Easy_20Apple_20Custard_20Pie-033-min_0.jpg,"Le souper a été un succès. Le temps et les efforts que vous y avez investis ont porté leurs fruits. Tous vos invités se sont délectés. Mais le problème du bon cuisinier, c’est que ses convives en veulent toujours plus. Avant leur départ, remettez-leur une délicieuse pointe de tarte. On a toujours un petit coin pour de la tarte!","1 1/4 tasse de farine tout usage
3/4 tasse de gruau gros flocons Quaker® ou de gruau rapide Quaker® (non cuit)
1/4 tasse de cassonade bien tassée
1/8 cuillère à thé de sel (facultatif)
8 cuillères à table (1 bâton) de margarine ou de beurre fondu
1 cuillère à table d'eau
1 cuillère à thé de vanille
1 contenant de 8 oz de crème sure faible en gras ou régulière
2/3 tasse de cassonade bien tassée
1/4 tasse de farine tout usage
4 blancs d'œuf ou 2 œufs légèrement battus
1/2 cuillère à thé de cannelle moulue
1/8 cuillère à thé de muscade moulue
4 tasses de pommes pelées et finement émincées (environ 4 ou 5 pommes moyennes)
1/4 tasse de gruau gros flocons Quaker® ou de gruau rapide Quaker® (non cuit)
1/4 tasse de cassonade bien tassée
1/4 tasse de farine tout usage
4 cuillères à table (1/2 bâton) de margarine ou de beurre froid et coupé en morceaux
","Pr&eacute;chauffer le four &agrave; 375 &deg;F. Pour la cro&ucirc;te, dans un bol moyen, ajouter la farine, le gruau, la cassonade et le sel; bien m&eacute;langer. Ajouter la margarine, l'eau et la vanille; bien m&eacute;langer. Tasser fermement le m&eacute;lange au fond et sur les parois d'une assiette &agrave; tarte en verre de 9 po, pour former un rebord de 1/4 po sur le c&ocirc;t&eacute;. Cuire 12 &agrave; 15 minutes ou jusqu'&agrave; coloration l&eacute;g&egrave;rement dor&eacute;e. Laisser refroidir compl&egrave;tement sur une grille.
Pour le m&eacute;lange &agrave; tarte, dans un bol moyen, ajouter la cr&egrave;me sure, la cassonade, la farine, les blancs d'&oelig;uf, la cannelle et la muscade; bien m&eacute;langer. Ajouter les pommes; bien m&eacute;langer. D&eacute;poser &agrave; la cuill&egrave;re sur la cro&ucirc;te refroidie.
Pour la garniture, dans un bol moyen, ajouter le gruau, la cassonade et la farine; bien m&eacute;langer. Ajouter la margarine et la couper avec un m&eacute;langeur &agrave; p&acirc;tisserie manuel ou deux couteaux jusqu'&agrave; ce que le m&eacute;lange ait une consistance granuleuse. &Eacute;tendre la garniture sur le m&eacute;lange &agrave; tarte.
Cuire 50 &agrave; 60 minutes ou jusqu'&agrave; ce qu'un couteau ins&eacute;r&eacute; au centre en ressorte propre. Laisser refroidir sur une grille. Servir chaud ou froid. Conserver au r&eacute;frig&eacute;rateur dans un contenant herm&eacute;tique.",,,,,,"43,024,310",0,0,2015-12-10 14:56:02,276
3625,Croustade Facile Aux Pommes Et Aux Petits Fruits,https://www.quakeroats.ca/fr/recipes/croustade-facile-aux-pommes-et-aux-petits-fruits,Desserts,Easy_20Apple-Berry_20Crumble_20Pie-008-min_0.jpg,"La tarte aux pommes est toujours une favorite, surtout au souper. Notre tarte crumble pommes et petits fruits vient changer les choses en combinant la saveur des canneberges et le goût classique que vous aimez pour réinventer le dessert. Qui sait, elle deviendra peut-être votre gourmandise préférée au souper.","1/2 tasse/350 mL de Gruau gros flocons à 100% de grains entiers Quaker® ou de Gruau rapide a 100% de grains entiers Quaker® (non cult)
1 tasse/250 mL de farine tout usage
1/2 tasse/125 mL de cassonade bien tassee
1/2 c. a the/2,5 mL de bicarbonate de sodium
2/3 tasse/150 mL de margarine ou de beurre fondu
1 boite (21 oz/595 mL) de garniture pour tarte aux pommes
3/4 tasse/175 mL de canneberges sechées
1 1/4 c. a the/6 mL de jus de citron
1/2 c. a the/2,5 mL de cannelle mouiue
","Pr&eacute;chauffer le four &agrave; 375&deg;F.&nbsp;
Vaporiser l&eacute;g&egrave;rement d&rsquo;a&eacute;rosol de cuisson antiadh&eacute;sif une assiette &agrave; tarte en verre de 8 ou 9 po.&nbsp;
Dans un bol moyen, combiner le gruau, la farine, la cassonade et le bicarbonate de sodium. Ajouter la margarine ou le beurre fondu; bien m&eacute;langer. R&eacute;server 3/4 tasse du m&eacute;lange de gruau pour la garniture. Presser le reste au fond et sur les parois de l'assiette &agrave; tarte.
Cuire 10 &agrave; 12 minutes ou jusqu'&agrave; coloration l&eacute;g&egrave;rement dor&eacute;e.
Laisser refroidir l&eacute;g&egrave;rement sur une grille.
Dans le m&ecirc;me bol, m&eacute;langer la garniture pour tarte aux pommes, les canneberges, le jus de citron et la cannelle. Verser sur la cro&ucirc;te chaude; &eacute;tendre uniform&eacute;ment. Avec une cuill&egrave;re, saupoudrer le m&eacute;lange de gruau r&eacute;serv&eacute; uniform&eacute;ment sur la garniture.&nbsp;
Cuire 18 &agrave; 22 minutes ou jusqu'&agrave; coloration l&eacute;g&egrave;rement dor&eacute;e. Servir chaud ou &agrave; temp&eacute;rature ambiante. &nbsp;",,,,,,,0,0,2015-12-10 14:56:02,277
3626,Biscuits sablés faciles    ,https://www.quakeroats.ca/fr/recipes/biscuits-sablés-faciles,Desserts,Easy_20Shortbread_20Cookies-032-min_0.jpg,"Même si vous n’avez plus de place pour un petit dessert, ce n’est pas toujours le cas des autres autour de la table. C’est à ce moment que le dessert se doit d’être petit, mais délicieux. Légers et sucrés, nos biscuits sablés faciles à préparer sont exactement ce qu’il faut pour couronner un copieux repas.","1 tasse (2 bâtons) de margarine ou de beurre légèrement ramolli
1/2 tasse de sucre
1 cuillère à thé de vanille
2 tasses de gruau gros flocons Quaker® ou de gruau rapide Quaker® (non cuit)
1 1/4 tasse de farine tout usage
Sucre coloré ou décorations à gâteau
","Pr&eacute;chauffer le four &agrave; 350 &deg;F. Mettre le beurre dans un grand sac (1 gallon) de plastique refermable. P&eacute;trir avec les mains jusqu&rsquo;&agrave; ce qu&rsquo;il soit tr&egrave;s mou. Ouvrir le sac; ajouter le sucre et la vanille. Refermer le sac; p&eacute;trir jusqu&rsquo;&agrave; ce que les ingr&eacute;dients soient bien incorpor&eacute;s. Ouvrir le sac; ajouter le gruau et la farine. Refermer le sac; p&eacute;trir jusqu&rsquo;&agrave; ce que les ingr&eacute;dients soient bien incorpor&eacute;s.
Ouvrir le sac; gratter la p&acirc;te avec une spatule pour la regrouper et la retirer du sac.
Faire des boules de p&acirc;te de 1 po. Disposer sur des plaques &agrave; biscuits non graiss&eacute;es &agrave; intervalles de 2 po; aplatir avec les doigts ou les dents d&rsquo;une fourchette &agrave; une &eacute;paisseur de 1/4 po.
D&eacute;corer au go&ucirc;t avec le sucre color&eacute; ou les d&eacute;corations &agrave; g&acirc;teau.
Cuire 12 &agrave; 14 minutes ou jusqu&rsquo;&agrave; ce que les fonds soient l&eacute;g&egrave;rement dor&eacute;s. Laisser refroidir 1 minute sur les plaques; d&eacute;poser sur une grille. Laisser refroidir compl&egrave;tement. Conserver dans un contenant herm&eacute;tique.",,,,,,"43,024,310",0,0,2015-12-10 14:56:02,278
3627,Croûte E-Z Oat ,https://www.quakeroats.ca/fr/recipes/croûte-e-z-oat,Desserts,Easy_20Oat_20Crust-016_0.jpg,"Amateurs de tartes, cette recette est pour vous. Les tartes sont vraiment géniales, surtout lorsqu’elles sont faites maison. Et se lancer dans leur fabrication à partir de zéro n’est pas si difficile. Tout ce qu’il vous faut, c’est de la cassonade, de la farine, du beurre et du gruau Quaker. Ah, et environ 15 minutes pour commencer. C’est vraiment facile.","1 croûte E-Z Oat
1/3 tasse de gruau gros flocons Quaker® ou de gruau rapide Quaker® (non cuit)
1/4 tasse de farine tout usage
1/4 tasse de cassonade bien tassée
3 cuillères à table de margarine ou de beurre froid
2 boîtes de 21 oz de garniture aux pommes ou aux pêches
1/2 tasse de raisins secs
1/2 cuillère à thé de cannelle moulue
Crème fouettée, crème glacée ou yogourt glacé (facultatif)
","Pr&eacute;parer la cro&ucirc;te E-Z Oat en suivant les directives sur l'emballage.
Pr&eacute;chauffer le four &agrave; 375 &deg;F.
Pour la garniture, m&eacute;langer dans un petit bol le gruau, la farine et la cassonade; bien m&eacute;langer. Couper la margarine avec un m&eacute;langeur &agrave; p&acirc;tisserie manuel ou deux couteaux jusqu'&agrave; ce que le m&eacute;lange ait une consistance granuleuse. R&eacute;server.
Pour la garniture, mettez dans un grand bol la garniture &agrave; tarte, les raisins secs et la cannelle; bien m&eacute;langer. Verser sur la cro&ucirc;te. Saupoudrer uniform&eacute;ment la garniture mise de c&ocirc;t&eacute;.
Cuire 25 &agrave; 30 minutes ou jusqu'&agrave; coloration dor&eacute;e de la garniture.
Servir avec de la cr&egrave;me fouett&eacute;e, de la cr&egrave;me glac&eacute;e ou du yogourt glac&eacute;, au go&ucirc;t.",,,,,,"43,024,310",0,0,2015-12-10 14:56:02,279
3630,Tarte glacée noir et blanc,https://www.quakeroats.ca/fr/recipes/tarte-glacée-noir-et-blanc,Desserts,Frosty_20Black_20and_20White_20Pie-027-min_0.jpg,"La crème glacée accompagne judicieusement tous les desserts. D&rsquo;innombrables desserts sont meilleurs lorsqu&rsquo;ils sont garnis d&rsquo;une cuillère de crème glacée. Eh bien, cette fois-ci, la crème glacée est un ingrédient principal. Réunissez de la crème glacée et des céréales Quaker dans une tarte pour vous offrir une gourmandise glacée impressionnante. Vous en raffolerez!","1 tasse de brisures de chocolat mi-sucré
1 cuillère à table de shortening végétal
3 tasses de crème glacée à la vanille ramollie
3 tasses de crème glacée au chocolat ramollie
2 1/2 tasses de Quaker® Céréales Life® originales grossièrement écrasées
","Tapisser une assiette &agrave; tarte en verre ou en m&eacute;tal de 9 po de papier d&rsquo;aluminium.
Pour la cro&ucirc;te, faire fondre les brisures de chocolat avec le shortening v&eacute;g&eacute;tal en suivant les directives sur l&rsquo;emballage.
Dans un grand bol, m&eacute;langer le chocolat fondu et les c&eacute;r&eacute;ales; m&eacute;langer jusqu&rsquo;&agrave; ce que les ingr&eacute;dients soient bien couverts. R&eacute;server 1/4 tasse du m&eacute;lange et l'&eacute;tendre sur un papier cir&eacute;; r&eacute;frig&eacute;rer.
Tasser le reste du m&eacute;lange de c&eacute;r&eacute;ales au fond et sur les parois de l&rsquo;assiette &agrave; tarte. R&eacute;frig&eacute;rer 30 minutes ou jusqu&rsquo;&agrave; ce que la cro&ucirc;te soit ferme.
Soulever d&eacute;licatement la cro&ucirc;te de l&rsquo;assiette &agrave; tarte, retirer le papier d&rsquo;aluminium et remettre la cro&ucirc;te dans l&rsquo;assiette.
Avec une cuill&egrave;re, d&eacute;poser les deux saveurs de cr&egrave;me glac&eacute;e tour &agrave; tour sur la cro&ucirc;te. Faire un marbr&eacute; avec la cuill&egrave;re, lisser le dessus. Broyer les c&eacute;r&eacute;ales enrob&eacute;es de chocolat mises de c&ocirc;t&eacute;, saupoudrer sur le dessus de la tarte en les enfon&ccedil;ant l&eacute;g&egrave;rement dans la cr&egrave;me glac&eacute;e.
Couvrir la tarte, la congeler jusqu&rsquo;&agrave; consistance solide, soit au moins 3 heures.
Sortir la tarte du cong&eacute;lateur 15 minutes avant de servir. Couper en pointes.","Variantes
Remplacer la cr&egrave;me glac&eacute;e au chocolat et &agrave; la vanille par vos saveurs pr&eacute;f&eacute;r&eacute;es de yogourt glac&eacute; ou de cr&egrave;me glac&eacute;e. Remplacer les c&eacute;r&eacute;ales &agrave; saveur originale par les c&eacute;r&eacute;ales Life&reg; Cannelle grill&eacute;e de Quaker&reg;.",,,,,4312,0,0,2015-12-10 14:56:02,280
3631,Sucettes glacées aux bananes,https://www.quakeroats.ca/fr/recipes/sucettes-glacées-aux-bananes,Desserts,Frozen_20Banana_20Pops-008.jpg,Le beurre d&rsquo;arachides se marie avec tout. Avec le céleri? Oui. Avec de la gelée? Oui. Avec du pain? Oui. Avec des fruits? La réponse est oui maintenant. Cette succulente friandise contient des bananes et du beurre d&rsquo;arachides. Ajoutez-leur les bienfaits des céréales Quaker et mettez le tout au congélateur. Vous obtenez une délicieuse collation rafraîchissante et toute une ribambelle de sucettes glacées jalouses.,"1 3/4 tasse de Quaker® Céréales Life®
4 grosses bananes (environ 1 1/2 livre) fermes et mûres
3/4 tasse de beurre d’arachides crémeux, croquant ou aromatisé
8 bâtonnets en bois minces
","Mettre les c&eacute;r&eacute;ales dans un grand sac de plastique refermable, chasser l&rsquo;air et sceller. Broyer grossi&egrave;rement les c&eacute;r&eacute;ales avec un rouleau &agrave; p&acirc;te ou avec la paume de la main. Transf&eacute;rer les c&eacute;r&eacute;ales dans une grande assiette.
Peler et couper les bananes en deux; enfoncer d&eacute;licatement le b&acirc;tonnet environ 1 1/2 po dans le bout coup&eacute; de la banane.
&Eacute;tendre 1 1/2 cuill&egrave;re &agrave; table de beurre d&rsquo;arachides sur les bananes; rouler dans les c&eacute;r&eacute;ales pour enrober compl&egrave;tement. Placer la sucette sur une assiette recouverte d&rsquo;un papier cir&eacute;.
R&eacute;p&eacute;ter l&rsquo;&eacute;tape 3 avec le reste des bananes.
Mettre les bananes au cong&eacute;lateur 1 heure ou jusqu&rsquo;&agrave; ce que l&rsquo;enrobage soit ferme. Transf&eacute;rer les sucettes dans un grand sac en plastique refermable pour le cong&eacute;lateur et mettre au cong&eacute;lateur.
Sortir les sucettes du cong&eacute;lateur 10 minutes avant de servir.","Variantes
Pour faire des mini-sucettes glac&eacute;es aux bananes, utiliser des bananes de petite ou de moyenne taille et faire 16 sucettes. Utiliser 2 tasses de c&eacute;r&eacute;ales et 1 tasse de beurre d&rsquo;arachides.",,,,,4312,3,4,2015-12-10 14:56:02,281
3632,Biscuits cowboy,https://www.quakeroats.ca/fr/recipes/biscuits-cowboy,Desserts,CowboyCookies-026_0.jpg,"Vous n’avez pas à rassembler de bétail ou à disparaître dans le soleil couchant pour apprécier un biscuit authentique. Contenant de la noix de coco, des raisins secs, des noix et des brisures de chocolat, ces biscuits sont parfaits pour le cowboy – ou la cowgirl – en vous qui a besoin d’une gourmandise saine pour rester en selle.","1 tasse de shortening végétal ou 1/2 livre (2 bâtons) de margarine ou de beurre ramolli
1 tasse de cassonade bien tassée
1 tasse de sucre blanc granulé
2 œufs
1 cuillère à thé de vanille
2 tasses de farine tout usage
1/2 cuillère à thé de bicarbonate de soude
1/2 cuillère à thé de sel (facultatif)
1/4 cuillère à thé de poudre à pâte
2 tasses de gruau gros flocons Quaker® ou de gruau rapide Quaker® (non cuit)
2 tasses (12 oz) de brisures de chocolat mi-sucré
1 tasse de noix hachées
1 tasse de noix de coco râpée
1 tasse de raisins secs
","Pr&eacute;chauffer le four &agrave; 350 &deg;F. Dans un grand bol, battre le shortening, la cassonade et le sucre jusqu'&agrave; consistance cr&eacute;meuse. Ajouter les &oelig;ufs et la vanille; bien m&eacute;langer. Ajouter la farine, le bicarbonate de soude, le sel et la poudre &agrave; p&acirc;te combin&eacute;s; bien m&eacute;langer. Ajouter le gruau, les brisures de chocolat, les noix, la noix de coco et les raisins secs; bien m&eacute;langer.
D&eacute;poser la p&acirc;te en portions d'une cuill&egrave;re &agrave; table comble sur des plaques &agrave; biscuits non graiss&eacute;es.
Cuire 10 &agrave; 12 minutes ou jusqu'&agrave; coloration l&eacute;g&egrave;rement dor&eacute;e. Laisser refroidir 2 minutes sur les plaques &agrave; biscuits; d&eacute;poser sur une grille. Laisser refroidir compl&egrave;tement. Conserver dans un contenant herm&eacute;tique.",,,,,,"43,024,310",0,0,2015-12-10 14:56:02,282
3633,Croustade aux pêches ,https://www.quakeroats.ca/fr/recipes/croustade-aux-pêches,Desserts,Peach_20Crisp-015_0.jpg,"Les fruits sont extraordinaires. Ils sont rafraîchissants, savoureux et sucrés. Saviez-vous que la chaleur accentue leur goût sucré? Ça semble incroyable, mais c’est vrai. Comme dans le cas de l’ananas cuit sur le BBQ, ou des pêches cuites au four avec un soupçon de vanille, saupoudrées de sucre et de cannelle et garnies de noix, de pacanes ou d’amandes. À vrai dire, ces extras sont extraordinaires!","Succédané de sucre thermostable équivalant à 2 cuillères à table de sucre blanc granulé
1 1/2 cuillère à table de farine tout usage
1 cuillère à thé de cannelle moulue
6 tasses de pêches fraîches pelées et tranchées (6 à 8 pêches moyennes) ou 2 paquets de 16 oz de pêches surgelées (décongelées)
1 cuillère à thé de vanille
1 tasse de gruau gros flocons Quaker® ou de gruau rapide Quaker® (non cuit)
1/4 tasse de noix, de pacanes ou d’amandes grossièrement hachées (facultatif)
4 cuillères à table (1/2 bâton) de margarine fondue
1/2 cuillère à thé de cannelle moulue
","Pr&eacute;chauffer le four &agrave; 350 &deg;F. Vaporiser un plat de cuisson carr&eacute; de 8 po en verre d'un enduit antiadh&eacute;sif.
Pour la p&acirc;te, combiner le succ&eacute;dan&eacute; de sucre ou le sucre, la farine et la cannelle dans un grand bol; bien m&eacute;langer. Ajouter les p&ecirc;ches et la vanille; m&eacute;langer jusqu&rsquo;&agrave; ce que les fruits soient uniform&eacute;ment couverts. D&eacute;poser dans le plat de cuisson.
Pour la garniture, combiner le reste des ingr&eacute;dients dans un bol moyen; bien m&eacute;langer. &Eacute;tendre uniform&eacute;ment sur les fruits.
Cuire 35 &agrave; 40 minutes ou jusqu&rsquo;&agrave; ce que les fruits soient tendres. Servir chaud.",,,,,,"43,024,310",0,0,2015-12-10 14:56:02,283
3635,Ours en biscuit au chocolat,https://www.quakeroats.ca/fr/recipes/ours-en-biscuit-au-chocolat,Desserts,Chocolate_20Cookie_20Bear-017-min_0.jpg,"Un favori des fêtes d’anniversaire, ce petit personnage est à la fois une gâterie savoureuse et une activité amusante. Vous n’avez qu’à fournir le glaçage, les décorations à pâtisserie et les bonbons, puis laissez les enfants donner libre cours à leur imagination en créant leurs chefs-d’œuvre d’ourson.","1 tasse de sucre blanc granulé
8 cuillères à table (1 bâton) de beurre ramolli (du beurre et rien d'autre)
1 tasse de brisures de chocolat mi-sucré fondues
2 œufs
1 cuillère à thé de vanille
2 tasses de gruau gros flocons Quaker® ou de gruau rapide Quaker® (non cuit)
1 1/2 tasse de farine tout usage
1 cuillère à thé de poudre à pâte
1/4 cuillère à thé de sel (facultatif)
Glaçage prêt à utiliser
Petits bonbons assortis, décorations à pâtisserie, sucre coloré
","Dans un grand bol, battre le sucre et le beurre avec un malaxeur &eacute;lectrique jusqu'&agrave; consistance cr&eacute;meuse. Ajouter le chocolat fondu, les &oelig;ufs et la vanille; bien m&eacute;langer. Ajouter le gruau, la farine, la poudre &agrave; p&acirc;te et le sel combin&eacute;s; bien m&eacute;langer. Couvrir; r&eacute;frig&eacute;rer environ 2 heures.
Pr&eacute;chauffer le four &agrave; 350 &deg;F.
Pour faire les ours, fa&ccedil;onner la p&acirc;te en boules de 1 po pour le corps, en boules de 1/2 po pour la t&ecirc;te et en boules de 1/4 po pour les pattes et les oreilles. Sur des plaques &agrave; biscuits non graiss&eacute;es, assembler d&eacute;licatement les pi&egrave;ces pour former des ours, &agrave; intervalles de 2 po. Aplatir l&eacute;g&egrave;rement les ours.
Cuire 8 &agrave; 10 minutes ou jusqu'&agrave; texture ferme. (Ne pas trop cuire.)
Laisser refroidir 2 minutes sur les plaques &agrave; biscuits; transf&eacute;rer sur une grille. Laisser refroidir compl&egrave;tement.
D&eacute;corer au go&ucirc;t avec le gla&ccedil;age et les bonbons. Conserver dans un contenant herm&eacute;tique.","Pour faire fondre les brisures de chocolat, les mettre dans une tasse &agrave; mesurer ou un petit bol allant au four &agrave; micro-ondes. Chauffer au four &agrave; micro-ondes &agrave; puissance &eacute;lev&eacute;e 1 &agrave; 2 minutes, en m&eacute;langeant toutes les 30 secondes, jusqu'&agrave; consistance lisse. Ou encore, les mettre au bain-marie sur de l'eau chaude (mais pas bouillante); remuer occasionnellement jusqu'&agrave; consistance lisse.",,,,,"43,024,310",0,0,2015-12-10 14:56:02,284
3636,Croustade au gruau poires et cannelle,https://www.quakeroats.ca/fr/recipes/croustade-au-gruau-poires-et-cannelle,Desserts,Pear_20Cinnamon_20Oat_20Crumble-020_0.jpg,"C’est le moment de faire la croustade. Qui dit croustade traditionnelle dit pommes, mais dans cette recette revisitée, des poires sont combinées au goût épicé de la cannelle. La chimie s'opère tellement bien entre ces deux-là que vos pommes risquent d’en être jalouses!","6 tasses de poires fermes et mûres, pelées et finement émincées ou de pommes Granny Smith pelées et finement émincées
1/4 tasse d'eau
1/4 tasse de cassonade bien tassée
2 cuillères à table de farine tout usage
1/2 cuillère à thé de cannelle moulue
1 tasse de gruau gros flocons Quaker® ou de gruau rapide Quaker® (non cuit)
1/2 tasse de copeaux d'amandes (facultatif)
1/4 tasse de cassonade bien tassée
1/4 tasse (1/2 bâton) de margarine ou de beurre fondu
1/4 cuillère à thé de cannelle moulue
Crème glacée à la vanille ou crème fouettée (facultatif)
","Pr&eacute;chauffer le four &agrave; 350 &deg;F. Dans un grand bol, mettre les poires et l'eau. Ajouter la cassonade, la farine et la cannelle; m&eacute;langer jusqu'&agrave; ce que les fruits soient uniform&eacute;ment couverts. Disposer dans un plat de cuisson carr&eacute; en verre de 8 po.
Dans un bol moyen, m&eacute;langer les ingr&eacute;dients de la garniture, sauf la cr&egrave;me glac&eacute;e; bien m&eacute;langer. Saupoudrer uniform&eacute;ment sur les poires.
Cuire 30 &agrave; 35 minutes ou jusqu'&agrave; ce que les poires soient tendres. Servir chaud avec de la cr&egrave;me glac&eacute;e ou de la cr&egrave;me fouett&eacute;e, au go&ucirc;t.",,,,,,"43,024,310",1,1,2015-12-10 14:56:02,285
