ID,Title,Link,Categories,Image,Description,Ingredients,Directions,Notes,Prep Time,Total Time,Servings,Related Products,Related Recipes,Average Ratings,Num Ratings,Featured,Order
5911,Roasted Red Pepper and Zatar Hummus,https://www.stacys.ca/recipes/roasted-red-pepper-and-zatar-hummus,Savoury,Roasted-Red-Pepper-and-Zatar-Hummus000052-Edited.jpg,,"1 bag Stacy's&reg; Simply Naked&reg; Pita Chips
10 oz. Sabra&reg; Roasted Pepper Hummus
2 tbsp Zatar or favorite Middle Eastern spice blend
3 tbsp Extra Virgin Olive Oil","In a mixing bowl, combine the olive oil and Zatar and let it sit for one hour..
In a serving bowl, add the hummus then pour the Zatar mixture over it..
Serve with Stacy's&reg; Simply Naked&reg; Pita Chips.",,5 min,1 h,,"54,886,186","590,658,165,836",0,0,0,11
5861,Individual Spinach & Artichoke Dips,https://www.stacys.ca/recipes/individual-spinach-artichoke-dips,Savoury,IndividualSpinachArtichokeDips.jpg,,"1 bag Stacy's&reg; Simply Naked&reg; Pita Chips
2 (14 oz.) cans Artichoke Hearts, drained and chopped
1 (10 oz.) package frozen Spinach, thawed, drained, squeezed dry
1 cup shredded part-skim Mozzarella Cheese
1/4 cup grated Parmesan Cheese
1 cup low-fat Greek Yogurt
1 (8 oz.) less-fat Cream cheese, softened cubed
1 (8 oz.) fat-free Cream Cheese, softened cubed
4 cloves Garlic, minced (1 tbsp)
1/2 tsp crushed Red Pepper flakes
1/2 tsp ground Black Pepper
1/2 Red Bell Pepper, diced","Preheat oven to 350&deg;F..
Set aside half of the mozzarella and parmesan cheeses..
In a large bowl, stir together all remaining ingredients, except for the red bell pepper and  Stacy's&reg; Simply Naked&reg; Pita Chips..
Spoon mixture into non-stick sprayed 1-1/2 quart baking dish..
Bake for 20-30 minutes until bubbly..
Transfer to individual serving cups of your choice with 1 or 2 Stacy's&reg; Simply Naked&reg; Pita Chips dipped slightly in.",,10 min,20-30 min,,5488,"593,157,715,836",0,0,0,12
5921,Smoked Salmon & Chive Spread,https://www.stacys.ca/recipes/smoked-salmon-chive-spread,Savoury,Smoked-Salmon-Chive-Spread.jpg,,"1 bag Stacy's&reg; Simply Naked&reg; Pita Chips
3/4 Cup Cream Cheese
1/4 Cup Sour Cream
1/4 Cup Unsalted Butter 
4 oz. Smoked Salmon, diced
2 tbsp Chives, minced
1 tbsp Lemon Juice
1/4 tsp Salt","In a food processor, combine the cream cheese, sour cream, butter, lemon juice and salt..
Transfer to a mixing bowl, and fold in the smoked salmon and chives..
Serve as a spread with Stacy's&reg; Simply Naked&reg; Pita Chips",,8 min,,,5488,"595,657,715,931",0,0,0,13
5926,Spicy Chipotle Pumpkin Dip,https://www.stacys.ca/recipes/spicy-chipotle-pumpkin-dip,"Savoury,Spicy,Sweet",Spicy-Chipotle-Pumpkin-Hummus-.jpg,,"1 bag Stacy's&reg; Multigrain Pita Chips
1 package Sabra&reg; Original Hummus
1 15 oz. can Pumpkin Puree
2 Chipotle Chilies
1 clove Garlic, minced
1 tbsp Honey
1/4 tsp Cinnamon
1/4 tso Cayenne Powder
1/2 tsp Cumin
1/2 tsp Oregano
1 tsp Chili Powder
Pinch of Salt and Pepper
Dash of Pumpkin Seeds","Using a food processor combine the Sabra and pureed pumpkin until blended. 
Finely chop the chipotle chilies and using a medium bowl, combine with garlic, honey, cinnamon, cayenne powder, cumin, oregano, chili powder, salt and pepper.
Stir the majority of this mix into the hummus dip, leaving a bit out for adding to the top of the dip.
Transfer to your serving bowl and top with the remaining mix as well as a drizzle of olive oil and the pumpkin seeds.
Serve with Stacy's&reg; Multigrain Pita Chips.",,10 min,,,5480,"57,665,791",0,0,0,14
5931,Spinach & Kale Greek Yogurt Dip,https://www.stacys.ca/recipes/spinach-kale-greek-yogurt-dip,Savoury,Spinach-_26-Kale-Greek-Yogurt-Dip.jpg,,"1 bag Stacy's&reg; Parmesan Garlic & Herb Pita Chips 
1 (17 oz) container of Greek Yogurt 
3 tbsp Mayonnaise
2 tbsp Honey
1 cup Kale, finely chopped 
1 cup Spinach, finely chopped 
3 thin Green Onions, finely chopped
1/3 cup Red Pepper, finely chopped 
1/4 cup Carrot, finely chopped 
2 Garlic Cloves, finely minced
1/2 tsp Salt
1/4 tsp Pepper
1/4 tsp Smoked Paprika
Artichoke Hearts to garnish (optional)","Chop the kale, spinach, green onion, red pepper and carrot as fine as possible.
Once chopped, combine all ingredients (except pita chips) in a bowl and mix until combined. Add seasoning to taste..
Store in refrigerator for a few hours before serving for maximum flavor..
Serve with Stacy's&reg; Parmesan Garlic & Herb Pita Chips.",,10 min,2-3 h,,5478,"580,658,415,846",0,0,0,15
5936,Sriracha White Cheddar Dip,https://www.stacys.ca/recipes/sriracha-white-cheddar-dip,"Savoury,Spicy",Sriracha-White-Cheddar-Dip.jpg,,"1 bag Stacy's&reg; Simply Naked&reg; Pita Chips 
1 head of Garlic 
1 tbsp Olive Oil
10 oz. reduced fat Cream Cheese, depending on consistency desired
1 tbsp Cornstarch
1/2 Cup Greek Yogurt, plain 
2 Cups White Cheddar, extra sharp
1 tbsp Sriracha","Preheat oven to 415 degrees. Peel most of the paper off of the garlic and trim the top off, exposing the tops of the cloves. 
Drizzle the olive oil over the surface of the cloves then wrap the garlic in aluminum foil. 
Place the garlic in the oven and bake for 35 minutes.  
Using a food processor, add the reduced fat cream cheese, cornstarch, Greek yogurt, white cheddar and Sriracha. 
When the garlic is roasted, press on the bottom of the head of garlic until it squeezes out into the processor. 
Pulse the mixture until it's smooth. 
Transfer the dip into a skillet and stir often over medium heat until bubbling. Serve immediately with Stacy's&reg; Simply Naked&reg; Pita Chips.",,10 min,35 min,,5488,"59,465,886",0,0,0,16
5941,Sundried Tomato Goat Cheese Dip,https://www.stacys.ca/recipes/sundried-tomato-goat-cheese-dip,Savoury,Sundried-Tomato-Goat-Cheese.jpg,,"1 bag Stacy's&reg; Toasted Cheddar Pita Chips
8 oz. Fresh Sun-dried Tomatoes 
8 oz. Goat Cheese
1 Cup Greek Yogurt
2 tbsp Olive Oil
1 tsp Oregano
1 tsp Rosemary
1/2 tsp Sea Salt & coarse Black Peppercorn 
1/4 Cup Water (optional)","Set goat cheese out until it's reached room temperature and softened. Using a food processor pulse the sun-dried tomatoes and olive oil for a chunky texture..
Add sour cream and goat cheese to food processor. Pulse ingredients for about 5 minutes until the mixture is smooth and blended. Add water depending on consistency you prefer. Season with salt, pepper, oregano and rosemary then drizzle with olive oil once plated. Serve with Stacy's&reg; Toasted Cheddar Pita Chips.",,10 min,,,5484,"594,659,065,941",0,0,0,17
5946,Toasted Cheddar Pita Chips & Tomato Soup,https://www.stacys.ca/recipes/toasted-cheddar-pita-chips-tomato-soup,Savoury,Toasted-Cheddar-Pita-Chips-_26-Tomato-Soup.jpg,,"1 bag Stacy's&reg; Toasted Cheddar Pita Chips
 5-6 large, ripe Tomatoes, sliced
4-5 Garlic Cloves crushed
1 tsp fresh ground pepper
2-3 tbsp Olive Oil
Salt, to taste
1/2 cup warm Chicken stock or water, optional
Cream for topping, optional
Fresh Basil for topping, optional","Mix tomatoes, garlic, oil, salt and pepper to taste and spread on to a foil covered cookie sheet or roasting pan..
Roast in oven for 30-45 minutes or until tomatoes wilt. Cool for 10 minutes..
Place roasted tomatoes and garlic mix into blender.
Add warm stock to taste. Garnish with fresh basil.
Swirl cream and sprinkle basil on top before serving..
Serve with Stacy's&reg; Toasted Cheddar Pita Chips on the side or as a topping.",,15 min,30-45 min,,5484,"594,159,065,936",0,0,0,18
5951,Tzatziki ,https://www.stacys.ca/recipes/tzatziki,Savoury,Tzatziki-.jpg,,"1 bag Stacy's&reg; Simply Naked&reg; Pita Chips 
1 cup Cucumber, peeled and finely minced
2 Garlic Cloves, peeled
4 tbsp Olive Oil
3 tbsp Dill, finely chopped
2 16 oz. Greek Yogurts
Pinch of Salt and Pepper","Peel and finely chop the cucumber. Spread the cucumber out evenly over a paper towel and sprinkle with salt, let it sit for 5 minutes. 
After the 5 minutes, pat all of the excess water from the cucumber. 
Using a food processor, add the garlic and olive oil and blend until it's a smooth paste. 
Transfer the paste into a medium bowl and add the cucumber, dill and yogurt with a dash of salt and pepper.
Stir the mixture until everything is combined evenly.
Transfer to your serving dish, drizzle with olive oil and enjoy with Stacy's&reg; Simply Naked&reg; Pita Chips.",,15 min,,,5488,"58,165,836",0,0,0,19
5956,Warm Honey Cheese Fig Dip,https://www.stacys.ca/recipes/warm-honey-cheese-fig-dip,"Savoury,Sweet",Warm-Honey-Cheese-Fig-Dip.jpg,,"1 bag Stacy's&reg; Simply Naked&reg; Pita Chips 
8 oz. Cream Cheese, softened
4 oz. Mascarpone Cheese, softened
8 oz. Gorgonzola Cheese, crumbled
1 cup dried Figs, chopped, plus more for garnish
3 Tbsp Honey, plus more for drizzling","Preheat the oven to 375&deg;F..
Combine the cream cheese, mascarpone and gorgonzola in a bowl with a spatula until creamy..
Fold in the figs and honey, stir until evenly combined..
Place the mixture into an oven safe bowl..
Bake for 15 to 20 minutes, it's ready when it's golden and bubbly on top..
Top the dip with figs and drizzle of honey..
Serve with Stacy's&reg; Simply Naked&reg; Pita Chips",,8 min,15-20 min,,5488,5856,0,0,0,20
5961,Warm Sangria Cider,https://www.stacys.ca/recipes/warm-sangria-cider,Savoury,Warm-Sangria-Cider.jpg,,"1 bottle Red Wine
4 cups Apple Cider
1/4 cup Honey
1/2 cup Spiced Rum
1 Apple, sliced, extra for garnish
2 Clementine's, halved, extra for garnish
3 Cinnamon Sticks
8 Whole Cloves
1 Vanilla Bean
1 tsp Nutmeg
4 thin slices Fresh Ginger
Star Anise","Combine wine, cider, honey, rum, apple slices and clementine's in a big pot over low heat..
While mixture is heating, toast cinnamon sticks, cloves, anise, vanilla, nutmeg, and ginger in a small skillet for 5 minutes, stirring occasionally..
Add to liquid and mix until fully combined..
Allow mixture to simmer for 30 minutes, stirring every so often to allow spices to seep in and honey to dissolve..
Do not allow the liquid to boil..
Serve hot, garnishing with apple and clementine slices.",,10 min,35 min,,5488,5956,0,0,0,21
5811,Cotija jalape&ntilde;o Corn Dip,https://www.stacys.ca/recipes/cotija-jalapeño-corn-dip,"Savoury,Spicy",Cotija-Jalapeno-Corn-Dip.jpg,,"1 bag Stacy's&reg; Fire Roasted Jalape&ntilde;o Pita Chips 
2 (11 oz.) cans whole kernel Sweet Corn, drained
1 jalape&ntilde;o, seeded and minced
2 tbsp Butter, unsalted
3 tbsp Mayonnaise
2 tbsp Cotija Cheese, crumbled
2 tbsp Fresh Cilantro leaves, chopped
1/2 tsp Salt
1 pinch Cayenne Pepper","Melt butter in a large skillet over medium high heat. 
Add the corn and chopped jalape&ntilde;o, cooking and stirring occasionally until the mixture is cooked through and slightly charred. 
This should take about 8-10 minutes. Add in the mayonnaise, cotija cheese, cilantro, cayenne pepper and salt, stirring until all blended and combined. 
Serve with Stacy's&reg; Fire Roasted Jalape&ntilde;o Pita Chips.",,12 min,8-10 min,,5486,,0,0,0,22
5761,Avocado Feta Dip,https://www.stacys.ca/recipes/avocado-feta-dip,Spicy,Avocado-Feta-Dip.jpg,,"1 bag Stacy's&reg; Toasted Cheddar Pita Chips 
2 Avocados, pitted and peeled
1/2 Cup Feta Cheese
1/2 tsp minced Garlic
1 Tbsp minced jalape&ntilde;o
1/4 Cup Cilantro, chopped
1/4 Cup Onion, chopped
1 Lime, juice
Pinch of Salt and Pepper","Using a food processor, combine the avocados, Feta cheese, garlic, jalape&ntilde;o, cilantro, onion and lime juice and pulse into blended and smooth. 
Add salt and pepper to taste. 
Serve with Stacy's&reg; Toasted Cheddar Pita Chips.",,10 min,10 min,,5484,"57,665,791",0,0,0,23
5766,Avocado Orange Salsa,https://www.stacys.ca/recipes/avocado-orange-salsa,Spicy,Avocado-Orange-Salsa.jpg,,"1 bag Stacy's&reg; Simply Naked&reg; Pita Chips 
OR Stacy's&reg; Fire Roasted Jalape&ntilde;o Pita Chips
2 Avocados, peeled, pitted and chopped
4 Blood Oranges, peeled, segmented and chopped
1/4 Cup Red Onion, diced
1 1/2 tsp Lime Juice
1 tbsp Jalape&ntilde;o, chopped
1 tbsp Cilantro, chopped
1/2 tsp Salt","In a mixing bowl, combine all the ingredients except the Pita Chips and gently mix..
Serve immediately with Stacy's&reg; Simply Naked&reg; Pita Chips or Stacy's&reg; Fire Roasted Jalape&ntilde;o Pita Chips.",,10 min,10 min,,5488,"57,615,791",0,0,0,24
5771,Baked Hummus & Spinach Dip,https://www.stacys.ca/recipes/baked-hummus-spinach-dip,Savoury,Baked-Hummus-_26-Spinach-Dip.jpg,,"1 bag Stacy's&reg; Toasted Cheddar Pita Chips
1 container Sabra&reg; Classic Hummus
2 cups fresh spinach
1 cup shredded white cheddar cheese
2 tsp Creole seasoning or Italian seasoning","Preheat oven to 375&deg;F..
Chop spinach by hand on a cutting board into fine shreds..
Combine hummus, spinach, half of the cheese and seasoning in a small casserole dish (about 9x9 inches). Sprinkle with remaining cheese..
Bake for 20-25 minutes. Cheese should be melted and hummus hot. Serve with Stacy's&reg; Toasted Cheddar Pita Chips..
Enjoy!",,8 min,20-25 min,,5478,"59,315,861",0,0,0,25
5776,Baked Fontina Dip,https://www.stacys.ca/recipes/baked-fontina-dip,Savoury,Baked-Fontina-Dip.jpg,,"1 bag Stacy's&reg; Parmesan Garlic & Herb Pita Chips 
1 1/2 lbs. Italian Fontina, rind removed and cut into cubes
6 Garlic Cloves, minced
1 tbsp Thyme, chopped
1 tsp Rosemary, chopped
3 tbsp Olive Oil
Pinch of Salt and Pepper","Turn on oven broiler.
Spread cheese out in the bottom of a cast iron pan. 3. Drizzle olive oil over the cheese.
Mix together the garlic and herbs separately and sprinkle the mixture evenly over the cheese.
Add pinch of salt and pepper over the top of mixture.
Bake for 5-7 minutes, until the cheese is bubbly and melted. Remove the dip from the oven and carefully transfer to serving dish.
Serve immediately with Stacy's&reg; Parmesan Garlic & Herb Pita Chips.",,5 min,5-7 min,,5484,"577,158,565,936",0,0,0,26
5781,Banana Hazelnut-Cocoa Dip,https://www.stacys.ca/recipes/banana-hazelnut-cocoa-dip,Sweet,Banana-Hazelnut-Cocoa-Dip.jpg,,"1 bag Stacy's&reg; Simply Naked&reg; Pretzel Thins 
1/2 Cup Banana, pureed (2 medium Bananas)
1/2 Cup Nutella
8 oz. Light Cool Whip","Combine all ingredients in a medium size bowl until evenly blended. 
Refrigerate for 2 hours then serve with Stacy's&reg; Simply Naked&reg; Pretzel Thins.",,5 min,2 h,,5496,"585,157,665,876",0,0,0,27
5786,Butternut Squash Hummus,https://www.stacys.ca/recipes/butternut-squash-hummus,Savoury,Butternut-Squash-Hummus.jpg,,"1 bag Stacy's&reg; Simply Naked&reg; Pita Chips
1 1/2 cups Roasted Butternut Squash 
(half of a 2.5 lb. Butternut Squash)
1 1/2 tsp Olive Oil (for squash)
1 tbsp Olive Oil (for dip)
1 1/2 cups cooked Chickpeas
2 tbsp Tahini
2 Garlic cloves, minced
1 Lemon, juiced
2 tbsp Water
1/2 tsp Smoked Paprika
1/4 tsp Cumin
Ground Pepper","Preheat oven to 425&deg;F.
Cut butternut squash in half then scoop out seeds..
Rub the one and a half tsp of olive oil on the inside of the butternut squash..
Place olive oil side down on a baking sheet and roast in oven for 30 minutes..
Remove from oven and let cool..
Once cooled, scoop out 1 1/2 cups worth..
Add butternut squash, 1 tbsp olive oil, chickpeas, tahini, garlic, lemon juice and water to a food processor and blend until smooth..
Add spices to the mixture and blend..
Serve with Stacy's&reg; Simply Naked&reg; Pita Chips.",,15 min,30 min,,5488,"58,315,796",0,0,0,28
5791,Chicken Avocado Bites,https://www.stacys.ca/recipes/chicken-avocado-bites,Spicy,Chicken-Avocado-Bites.jpg,,"1 bag Stacy's&reg; Fire Roasted Jalape&ntilde;o Pita Chips
Rotisserie chicken
BBQ sauce
Avocado
Grated Cheddar Cheese
Limes","Shred chicken and mix in your favorite BBQ sauce.  Set aside..
Arrange pita chips on a baking sheet..
Place a spoonful of chicken mixture on each chip..
Top with cheese and avocado..
Bake in a 250 oven for 10 minutes. Squeeze lime on top. Serve warm.",,10 min,10 min,,5486,"57,615,791",0,0,0,29
5796,Chile Verde Hummus,https://www.stacys.ca/recipes/chile-verde-hummus,"Savoury,Spicy",Chile-Verde-Hummus.jpg,,"1 bag Stacy's&reg; Fire Roasted Jalape&ntilde;o Pita Chips 
1 container Sabra&reg; Classic Hummus
4 Tomatillos, peeled and diced
1 Poblano Pepper, roasted, peeled, seeded and diced
2 Anaheim Peppers, roasted, peeled, seeded and diced
1 tbsp Extra Virgin Olive Oil
1/4 cup White Onion, diced
1 tbsp Garlic, chopped
1 tbsp Lime Juice
2 tbsp Cilantro, chopped
1/2 Avocado, chopped
Salt to taste","Preheat the oven to 400&deg;F.
Place the tomatillos in a skillet or on a baking sheet and place in oven..
Bake for 20 minutes until the skins begin to brown..
Remove tomatillos from oven and chop coarsely..
Warm the olive oil in a skillet over medium heat. Add onion and garlic and saut&eacute; until translucent and beginning to brown..
In a food processor, combine the hummus, tomatillos, half of the onion and garlic mixture, half of the peppers, lime juice, avocado, cilantro and salt. Blend until smooth and pour in a bowl..
Fold in the remaining onion and garlic and refrigerate for two hours..
Serve with Stacy's&reg; Fire Roasted Jalape&ntilde;o Pita Chips.",,15 min,2 h 10 min,,5486,"58,315,786",0,0,0,30
5801,Chorizo Sliders,https://www.stacys.ca/recipes/chorizo-sliders,Spicy,Chorizo-Sliders_1.jpg,,"1 bag Stacy's&reg; Fire Roasted Jalape&ntilde;o Pita Chips
1 jar Pickled Onions
8 oz. Chorizo 
1 Red Pepper
Sabra&reg; Guacamole 
Sour Cream
Cilantro","Cook chorizo in skillet until browned..
Chop pickled onion, red pepper and cilantro..
Place a spoonful of the chorizo onto each pita chip..
Top with a dollop of Sabra&reg; Guacamole and sour cream, then sprinkle with red pepper, pickled onion, and cilantro.",,10 min,5 min,,5486,"58,515,911",0,0,0,31
5806,Cilantro Greek Yogurt Dip,https://www.stacys.ca/recipes/cilantro-greek-yogurt-dip,"Savoury,Spicy,Sweet",Cilantro-Greek-Yogurt-Dip.jpg,,"1 bag Stacy's&reg; Fire Roasted Jalape&ntilde;o Pita Chips 
1 1/4 Cups Greek yogurt, plain
3/4 Cup Light Mayonnaise
3/4 Cup Cilantro
Juice of 2 Limes
Pinch of Salt and Pepper","Combine all ingredients except pita chips into the food processor and blend until all elements are combined and evenly mixed. 
Refrigerate for up to 1 hour and serve with Stacy's&reg; Fire Roasted Jalape&ntilde;o Pita Chips.",,5 min,20 min,,5486,"593,158,415,846",0,0,0,32
