ID,Category,Name,Link,Image,Description,Ingredients,Alert,Portion,Nutrition Facts,Featured,Order
4889,Croustilles RUFFLES<sup>®</sup>,Croustilles RUFFLES<sup>®</sup> Nature,https://www.ruffles.ca/fr/products/ruffles®-nature,regular_ruffles.png,<p>Croustilles et trempette; tout le monde y gagne! Invitez vos amis et perfectionnez la façon dont vous plongez vos croustilles Ruffles&reg; Nature dans votre trempette Ruffles&reg; favorite. Les croustilles Ruffles&reg; Nature marqueront un point à votre prochain party. Ah! On peut déjà percevoir le début d'un duo inséparable!</p>,"Pommes de terre spécialement sélectionnées, huile végétale, sel.",Sans gluten.,Teneur par 50 g portion (21 croustilles),"- Calories 280 |
",1,1
4902,Trempettes RUFFLES<sup>®</sup>,Trempette à saveur de Ranch RUFFLES<sup>®</sup>,https://www.ruffles.ca/fr/products/ruffles®-ranch,dips_ranch_ruffles.png,"La trempette à Ruffles<sup>®</sup> crémeuse et savoureuse… la trempette parfaite pour votre prochain party! En format prêt-à-manger, cette trempette renferme un délicieux mélange d’épices et peut être dégustée avec les croustilles de votre choix. Et le meilleur? C’est que tout ce que vous avez à faire, c’est d’ouvrir le couvercle et d’y plonger vos croustilles — il n’y a rien de mieux que des croustilles et des trempettes crémeuses Ruffles<sup>®</sup>!","Eau, huile végétale, assaisonnement (sel, glutamate monosodique, poudre d'ail, épices, oignon en poudre, arômes naturels), amidon de maïs modifié, amidon de tapioca modifié, concentré protéique de lactosérum, sucre, glucono-delta-lactone, arôme (contient des ingrédients laitiers modifiés), esters diacétyl-tartrique des mono et diglycérides, acide lactique, phosphate de sodium, gomme de xanthane.",Contient des ingrédients du lait.,Teneur par 33 g portion (2 tbsp),"- Calories 60 |
- Lipides 5 g | 8 %
 -- saturés 0.5 g | 3 %
 -- trans 0 g |
- Cholestérol 0 mg | 0 %
- Sodium 200 mg | 8 %
- Glucides 2 g | 1 %
 -- Fibres 0 g | 0 %
 -- Sucres 1 g |
- Protéines 1 g |
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 0 %
- Fer | 0 %
",0,2
7011,Croustilles RUFFLES<sup>®</sup>,Croustilles RUFFLES<sup>®</sup> Saveur simulée Sel et vinaigre,https://www.ruffles.ca/fr/products/ruffles®-croustilles-sel-et-vinaigre,salt_vinegar_ruffles.png,<p>UNE SAVEUR LÉGENDAIRE!</p><p>Pour le plaisir de vos papilles. Enfin!</p><p>Ruffles&reg; salue le retour de ce grand classique dans sa gamme de croustilles. La texture ondulée des Ruffles&reg; capture les délicieux arômes de sel et de vinaigre pour vous offrir un maximum de saveur. Cette alliance légendaire promet à vos papilles une aventure mémorable. Elles en redemanderont!</p>,"POMMES DE TERRE SPÉCIALEMENT SÉLECTIONNÉES, HUILE VÉGÉTALE, ASSAISONNEMENT (MALTODEXTRINE DE MAÏS, ACÉTATE DE SODIUM, ACIDE ACÉTIQUE, LACTOSE, ARÔME NATUREL, ACIDE MALIQUE, ARÔME ARTIFICIEL), SEL. CONTIENT DES INGRÉDIENTS DU LAIT.",CONTIENT DES INGRÉDIENTS DU LAIT.,pour 20 croustilles (50 g),"- Calories 260 |
- Lipides 17 g | 26 %
 -- saturés 1.5 g | 9 %
 -- trans 0 g |
- Cholestérol 0 mg | 0 %
- Sodium 330 mg |14 %
- Glucides 26 g | 9 %
 -- Fibres 2 g | 7 %
 -- Sucres 1  g |
- Protéines 3 g | 
- Vitamine A | 0 %
- Vitamine C | 20 %
- Calcium | 2 %
- Fer | 4 %
",0,7
7036,Croustilles RUFFLES<sup>®</sup>,Croustilles RUFFLES<sup>®</sup>Saveur simulée Enflamé Bar-B-Q,https://www.ruffles.ca/fr/products/croustilles-ruffles®-enflammé-bar-b-q,flamin hot_ruffles.png,"<p>Une saveur intense, tout juste sortie du barbecue!</p><p>La saveur originale de BBQ grillé que vous aimez, à laquelle on a ajouté du mordant.</p><p>Les croustilles Ruffles&reg; Enflammé* Bar-B-Q : le goût piquant de BBQ présenté sur une croustille à texture ondulée Ruffles&reg; pour vous offrir un maximum de saveur.</p><p>Cette alliance renversante promet à vos papilles une aventure mémorable.</p>","POMMES DE TERRE SPÉCIALEMENT SÉLECTIONNÉES, HUILE VÉGÉTALE, ASSAISONNEMENT (SUCRE, DEXTROSE, SEL, MALTODEXTRINE DE MAÏS, LEVURE TORULA, ÉPICES, CHLORURE DE POTASSIUM, PROTÉINE DE SOYA HYDROLYSÉE, GLUTAMATE MONOSODIQUE, OIGNON SÉCHÉ, ACIDE CITRIQUE, COLORANT, AIL SÉCHÉ, INOSINATE DISODIQUE, GUANYLATE DISODIQUE, ARÔME NATUREL).",CONTIENT DES INGRÉDIENTS DE SOYA.		,Pour 20 croustilles (50g),"- Calories 260 |
- Lipides 16 g | 25%
 -- Saturés 1.5 g | 8%
 -- + Trans 0 g |
- Cholestérol 0 mg | 0%
- Sodium 330 mg |14%
- Glucides 26 g | 9%
 -- Fibres 2 g | 8%
 -- Sucres 2 g |
- Protéines  3 g |
- Vitamine A | 2%
- Vitamine C | 20%
- Calcium | 2%
- Fer | 6%
",1,8
6911,Croustilles RUFFLES<sup>®</sup>,Croustilles RUFFLES<sup>®</sup> Saveur simulée BBQ Fumé,https://www.ruffles.ca/fr/products/ruffles®-bbq-fumé,smoked_BBQ_ruffles.png,"<div><span style=""font-size: 10.5755px;"">AAAAH&hellip;LA FUMÉE!&nbsp;</span></div><div><span style=""font-size: 10.5755px;"">Des arômes dignes d'un BBQ.</span></div><div><span style=""font-size: 10.5755px;"">Nous savons que vous travaillez fort pour préparer vos succulentes côtes levées. Maintenant que vous vous êtes autoproclamé roi de la côte levée, vous devez vous lever au chant du coq pour obtenir la fumée parfaite et finalement prendre le temps de concocter la plus complexe des sauces pour en enrober vos côtes levées&hellip; Pourquoi ne pas sauter toutes ces étapes et savourer le goût des côtes levées fumées que vous adorez avec les croustilles Ruffles* BBQ fumé?</span></div>","POMMES DE TERRE SPÉCIALEMENT SÉLECTIONNÉES, HUILE VÉGÉTALE, ASSAISONNEMENT (SUCRE, MALTODEXTRINE DE MAÏS, CASSONADE, DEXTROSE, GLUTAMATE MONOSODIQUE, POUDRE DE TOMATES, ARÔMES NATUREL ET ARTIFICIEL, OIGNON EN POUDRE, MÉLASSE, POUDRE D'AIL, LEVURE, ÉPICES, HUILE VÉGÉTALE, AMIDON DE MAÏS, HUILE DE COCO MODIFIÉE, HUILE DE PALMISTE MODIFIÉE, PAPRIKA, COLORANT, SEL, GRAINE DE MOUTARDE), SEL.",CONTIENT DES INGRÉDIENTS DE LA MOUTARDE.,pour 20 croustilles (50 g),"- Calories 270 |
- Lipides 16 g | 25 %
 -- saturés 1.5 g |
 -- trans 0 g | 9 %
- Cholestérol 0 mg | 0 %
- Sodium 310 mg | 13 %
- Glucides 27 g | 9 %
 -- Fibres 2 g | 7 %
 -- Sucres 3 g |
- Protéines 3 g |
- Vitamine A | 2 %
- Vitamine C | 15 %
- Calcium | 2 %
- Fer | 6 %
",0,9
6901,Croustilles RUFFLES<sup>®</sup>,Croustilles RUFFLES<sup>®</sup> Saveur simulée Sucrées Et épicées                                                                ,https://www.ruffles.ca/fr/products/ruffles®-sucrées-et-épicées,sweet_spicy_ruffles.png,"<p><span style=""font-size: 10.5755px;"">Nous savons que vous aimez surprendre vos papilles avec tout ce que vous mangez, et c'est pourquoi vous ajoutez de la sauce piquante littéralement partout! Faites exploser vos papilles avec ces croustilles au goût sucré qui ont du mordant! Les nouvelles croustilles Ruffles* Sucrée et épicée vous offrent le meilleur des deux mondes dans une seule et même croustille.<span style=""white-space:pre""> </span></span></p>","POMMES DE TERRE SPÉCIALEMENT SÉLECTIONNÉES, HUILE VÉGÉTALE, ASSAISONNEMENT (MALTODEXTRINE DE MAÏS, SUCRE, FRUCTOSE, MÉLASSE DE FANTAISIE, ARÔMES NATUREL ET ARTIFICIEL, SAUCE SOJA [SOJA, SEL], ÉPICES, PROTÉINE DE MAÏS HYDROLYSÉE, PROTÉINE DE SOJA HYDROLYSÉE, SEL, GLUTAMATE MONOSODIQUE, VINAIGRE, ACIDE CITRIQUE, ACIDE MALIQUE, MIEL, OIGNON DÉSHYDRATÉ, AIL DÉSHYDRATÉ, EXTRAITS DE PAPRIKA, INOSINATE DISODIQUE, GUANYLATE DISODIQUE), SEL.",CONTIENT DES INGRÉDIENTS DE SOJA.,pour 20 croustilles (50 g),"- Calories 270 |
- Lipides 16 g | 25 %
 -- saturés 1.5 g |
 -- trans 0 g | 9 %
- Cholestérol 0 mg | 0 %
- Sodium 350 mg | 14 %
- Glucides 28 g | 9 %
 -- Fibres 2 g | 7 %
 -- Sucres 2 g |
- Protéines 3 g |
- Vitamine A | 2 %
- Vitamine C | 15 %
- Calcium | 2 %
- Fer | 6 %
",0,10
7506,Croustilles RUFFLES<sup>®</sup>,Croustilles Simply RUFFLES<sup>®</sup> Sel marin,https://www.ruffles.ca/fr/products/croustilles-ruffles®-simply-faibles-en-gras-sel-marin-0,simply_salt_ruffles.png,"Nos collations SIMPLY sont faites avec des ingrédients que vous pouvez savourer l'esprit tranquille, et vous sont offertes par les marques que vous aimez. Ces produits sont SIMPLEMENT DÉLICIEUX.<br><br>- Sans colorant artificiel ou arôme artificiel<br>- Certifié « Projet sans OGM vérifié »<br>- Sans gluten<br>- Kosher<br><br>*30 % moins de gras que les croustilles Ruffles<sup><sup>®</sup></sup> Nature","POMMES DE TERRE SPÉCIALEMENT SÉLECTIONNÉES, HUILE DE TOURNESOL EXTRAITE PAR PRESSION, SEL MARIN.",,Pour 27 croustilles (50 g),"- Calories 240 |
- Lipides 12 g |18 %
 -- saturés 1 g | 5 %
 -- trans 0 g |
- Cholestérol 0 mg | 0 %
- Sodium 270 mg |11 %
- Glucides 33 g | 11 %
 -- Fibres 3 g | 12 %
 -- Sucres 2 g |
- Protéines 4 g | 
- Vitamine A | 0 %
- Vitamine C | 25 %
- Calcium | 2 %
- Fer | 8 %
",0,11
7096,Croustilles RUFFLES<sup>®</sup>,Emballages de produits assortis FRITO-LAY<sup>®</sup> Mélange classique,https://www.ruffles.ca/fr/products/emballages-de-produits-assortis-frito‑lay®-mélange-classique,Classic_Mix_Ruffles.png,"<p>Offrez de la variété avec les emballages de produits assortis Frito-Lay&reg;! Étant donné que les goûts varient d'une personne à l'autre, nous avons créé les emballages de produits assortis Frito-Lay&reg; qui offrent des produits répondant aux différents besoins de collations. Notre Mélange classique contient quelques-unes des collations Frito-Lay&reg; préférées des Canadiens, dont les croustilles Lay's&reg; Classique, les chips tortilla Doritos&reg; Fromage nacho, les croustilles Ruffles&reg; Assaisonnées et les grignotines à saveur de fromage Cheetos&reg; Soufflés. Cet emballage contient 20 sacs de 28 g parfaits pour les collations à emporter! De plus, l'emballage externe est muni d'une poignée qui le rend plus facile à transporter et à ranger. Les emballages de produits assortis Frito-Lay&reg; se prêtent à de nombreuses occasions. Faites-en provision pour les collations après l'école, les événements sportifs, les escapades routières et les collations à emporter.</p>",,,,,0,12
7106,Croustilles RUFFLES<sup>®</sup>,Emballages de produits assortis FRITO-LAY<sup>®</sup> Mélange de saveurs,https://www.ruffles.ca/fr/products/emballages-de-produits-assortis-frito‑lay®-mélange-de-saveurs,Flavour_mix_ruffles.png,"<p>Offrez de la variété avec les emballages de produits assortis Frito-Lay&reg;! Tous les goûts sont dans la nature. C'est pourquoi nous avons créé les emballages de produits assortis Frito-Lay&reg; qui offrent des produits répondant aux différents besoins de collations. Notre Mélange de saveurs est celui qui regroupe la plus grande variété de notre portefeuille dans les saveurs préférées des Canadiens! Cet emballage contient les croustilles Lay's&reg; Ketchup, les chips tortilla Doritos&reg; Fromage nacho, les croustilles Ruffles&reg; Bar-B-Q, les grignotines à saveur de fromage Cheetos Croquant&reg; et le maïs soufflé Smartfood&reg; Cheddar blanc. Cet emballage contient 20 sacs de 28 g parfaits pour les collations à emporter! De plus, l'emballage externe est muni d'ne poignée qui le rend plus facile à transporter et à ranger.&nbsp;</p>",,,,,0,13
7091,Croustilles RUFFLES<sup>®</sup>,Emballages de produits assortis FRITO-LAY<sup>®</sup> Mélange intense,,Variety Pack Bold Mix_ruffles.png,"<p>Offrez de la variété avec les emballages de produits assortis Frito-Lay<sup>®</sup>! Tous les goûts sont dans la nature. C'est pourquoi nous avons créé les emballages de produits assortis Frito-Lay<sup>®</sup> qui offrent des produits répondant aux différents besoins de collations. Le Mélange intense regroupe nos saveurs les plus audacieuses et les plus intenses, et une variété de saveurs préférées des Canadiens! Cet emballage contient les croustilles assaisonnées Lay’s<sup>®</sup> Cheddar Jalapeño, les chips tortilla aromatisées Doritos<sup>®</sup> Piment infernal!<sup>®</sup>, les croustilles Ruffles<sup>®</sup> Enflammé Saveur Bar-B-Q et les grignotines à saveur de fromage Cheetos Croquant<sup>®</sup> Cheddar Jalapeño. Cet emballage contient 18 sacs de 28 g parfaits pour les collations à emporter! Les emballages de produits assortis Frito-Lay<sup>®</sup> sont parfaits pour diverses occasions. Faites-en provision pour vos événements sportifs et vos escapades en voiture, et pour prendre la collation peu importe où vous êtes.</p>",,,,,0,14
20987,Croustilles RUFFLES ULTRACROQUANTES<sup>_MC_</sup>,Croustilles RUFFLES ULTRACROQUANTES<sup>_MC_</sup> Saveur simulée Jalapeño cheddar,,Doublecrunch_jalapeno_ruffles.png,"<p>Croustilles Ruffles Ultracroquantes<sup>_MC_</sup> Saveur simulée Jalapeño cheddar 
2x plus croquantes†
<br>
Des Ruffles<sup>®</sup> super ondulées 
Cuites à la marmite jusqu'à l'obtention d'une texture croquante à souhait
<br>
† Comparativement aux croustilles Ruffles<sup>®</sup> Nature.
<br>
Fabriqué au Canada
<br>
Fabriqué au Canada à partir d'ingrédients canadiens et importés.</p>","POMMES DE TERRE SPÉCIALEMENT SÉLECTIONNÉES, HUILE VÉGÉTALE, ASSAISONNEMENT (SEL, SUBSTANCES LAITIÈRES MODIFIÉES, FROMAGE CHEDDAR, MALTODEXTRINE, GLUTAMATE MONOSODIQUE, POUDRE D'OIGNON, SUCRE, AMIDON DE MAÏS, HUILE VÉGÉTALE, DEXTROSE, ÉPICES, MATIÈRE SÈCHE DE SIROP DE MAÏS, POUDRE D'AIL, DIACÉTATE DE SODIUM, COLORANT, PHOSPHATE DISODIQUE, ACIDE CITRIQUE, ACIDE MALIQUE, PIMENT JALAPEÑO, INOSINATE DISODIQUE, GUANYLATE DISODIQUE, ARÔMES NATUREL ET ARTIFICIEL).",,Teneur par 18 croustilles (50g),"-Calories 250 |
-Lipides 14 g | 22%
-- Saturés 1.5 g | 8%
-- + Trans  0 g |
-Cholestérol 0 mg | 0%
-Sodium 330 mg | 14%
-Glucides 30 g | 10%
--Fibres 3 g | 12%
-- Sucres 2 g |
-Protéines 4 g |
-Vitamine A | 0%
-Vitamine C | 20%
-Calcium | 2%
-Fer | 8%  
",1,1
20988,Croustilles RUFFLES ULTRACROQUANTES<sup>_MC_</sup>,Croustilles RUFFLES ULTRACROQUANTES<sup>_MC_</sup> Saveur simulée Ketchup,,doublecrunch_ketchup_ruffles.png,"<p>Croustilles Ruffles Ultracroquantes<sup>_MC_</sup> Saveur simulée Ketchup
2x plus croquantes†
<br>
Des Ruffles<sup>®</sup> super ondulées
Cuites à la marmite jusqu'à l'obtention d'une texture croquante à souhait
<br>
† Comparativement aux croustilles Ruffles<sup>®</sup> Nature.
<br>
Fabriqué au Canada
Fabriqué au Canada à partir d'ingrédients canadiens et importés.</p>","POMMES DE TERRE SPÉCIALEMENT SÉLECTIONNÉES, HUILE VÉGÉTALE, ASSAISONNEMENT (SUCRE, SEL, ACÉTATE DE SODIUM, COLORANT, ACIDE ACÉTIQUE, FRUCTOSE, GLUTAMATE MONOSODIQUE, ACIDE MALIQUE, POUDRE DE TOMATES, ACIDE CITRIQUE, ÉPICES, DEXTROSE, POUDRE D'AIL, ARÔME NATUREL).",,Teneur par 18 croustilles (50g),"-Calories 250 |
-Lipides 13 g | 20%
-- Saturés 1.5 g | 8%
-- + Trans  0 g |
-Cholestérol 0 mg | 0%
-Sodium 300 mg | 13%
-Glucides 31 g | 10%
--Fibres 3 g | 12%
-- Sucres 4 g |
-Protéines 3 g |
-Vitamine A | 0%
-Vitamine C | 20%
-Calcium | 2%
-Fer | 8%  
",1,2
