ID,Title,Image Madewith,Image Madewith2,Prep Time,Cook Time,Rating,Image,Mobile Image,Description,Ingredients,Directions
4010,Boulettes de viande fromagées aux CHEETOS<sup>®</sup>,Cheetos Crunchy.png,,,,,Cheetos Meatballs1920x715.jpg,Cheetos Meatballs400x220.jpg,"Les saveurs italiennes classiques rehaussées d’un soupçon Dangereusement fromagé<sup>®</sup>! Ces boulettes de bœuf, porc et veau aux CHEETOS<sup>®</sup> sont servies dans une consistante sauce tomate aux fines herbes et garnies de fromage ricotta.","5  1/4 tasses de grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> réduites en poudre
Huile d’olive extra-vierge
 1/4 livre de pancetta, coupée en dés de  1/4 pouce
6 oignons
Piment de Cayenne broyé 
Sel casher
6 gousses d’ail
3 boîtes de 28 oz de tomates San Marzano passées au moulin à légumes
 1/2 livre de bœuf haché
 1/2 livre de veau haché
 1/2 livre de porc haché
2 gros œufs 
1 tasse de fromage Parmigiano fraîchement râpé, plus au besoin
 1/4 tasse de persil italien frais, haché
2 tasses de fromage Ricotta
2 tasses de cornichons à l’aneth, coupés en dés de  1/4 pouce
1 tasse de ciboulette hachée finement
","Sauce :
Enduire une grande casserole d’huile d’olive. Ajouter la pancetta et cuire à feu moyen 6 à 8 minutes.
Ajouter 4 oignons (coupés en dés de  1/2 pouce), 4 gousses d’ail (écrasées et hachées finement) et une pincée de piment de Cayenne broyé. Saler généreusement. Cuire jusqu’à ce que les oignons soient tendres, en remuant fréquemment.
Ajouter les tomates et 2 tasses d’eau. Pendant la cuisson, ajouter jusqu’à une tasse supplémentaire d’eau pour obtenir la consistance désirée. Saler généreusement. Cuire la sauce pendant 2 ou 3 heures, en remuant à l’occasion.
 
Boulettes de viande :
Enduire un plat à sauter d’huile d’olive, ajouter 2 oignons (coupés en dés de  1/4 de pouce) et cuire à feu moyen élevé. Saler généreusement et cuire jusqu’à ce que les oignons soient tendres.
Ajouter 2 gousses d’ail hachées finement et une pincée de piment de Cayenne broyé. Poursuivre la cuisson 2 à 3 minutes. Éteindre le feu.
Dans un grand bol, combiner le bœuf, le veau, le porc, les œufs, le fromage Parmigiano, le persil et 5 tasses de poudre de CHEETOS CROQUANT<sup>®</sup>. Saler. Mélanger avec vos mains.
Ajouter les oignons et environ  1/2 tasse d’eau. Mélanger encore – le mélange doit être mouillé.
Préchauffer le four à 350 °F. 
Avec vos mains humides, façonner des boulettes un peu plus grosses que des balles de golf. Rouler chaque boulette dans 5 tasses de poudre de CHEETOS<sup>®</sup>.
Frire les boulettes jusqu’à ce qu’elles soient brun foncé et très croustillantes. Placer les boulettes sur une plaque et cuire au four 10 minutes.
 
Assemblage :
Cuire les boulettes dans la sauce 15 à 20 minutes ou jusqu’à ce qu’elles soient entièrement enrobées.
Placer les boulettes dans un plat de service et les recouvrir de sauce. Garnir de ricotta et de cornichons coupés en dés. Saupoudrer du reste de poudre de CHEETOS CROQUANT<sup>®</sup> et de ciboulette.
"
4011,Tacos de poulet aux CHEETOS<sup>®</sup> Enflammé,Cheetos Crunchy Flamin Hot.png,,,,,Cheetos FH Chicken Tacos1920x715.jpg,Cheetos FH Chicken Tacos400x220.jpg,"Nous pourrions prendre le temps de décrire cette exquise combinaison de tacos de poulet parfaitement assaisonnés, de légumes croquants et de grignotines CHEETOS<sup>®</sup> Enflammé, mais nous vous dirons simplement « Avec plaisir! »","1 tasse de grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> Enflammé hachées très grossièrement
 1/4 tasse d’huile d’olive
1 gros oignon espagnol, coupé en dés de  1/4 de pouce
2 grosses gousses d’ail, écrasées et hachées finement
1 piment jalapeño, tige et graines enlevées, épépiné et haché finement
1 boîte de conserve (150 mL) de pâte de tomate
1 bouquet de coriandre, tiges et feuilles séparées, hachées finement
1 boîte de 15 oz de haricots noirs
4 hauts de cuisses de poulet désossés et sans la peau, coupés en cubes de  1/2 pouce
2 tasses de bouillon de poulet
4 limes (jus et zeste)
8 tortillas de maïs, enveloppées ensemble dans du papier d’aluminium
1 tasse de crème sure
Sel cacher
 1/2 tasse de feuilles entières de coriandre fraîche","Enduire un plat à sauter d’huile d’olive, ajouter les oignons, saler et cuire à feu moyen élevé jusqu’à ce que les oignons soient tendres.
Ajouter les jalapeños, les tiges de coriandre et l’ail et faire revenir 2 à 3 minutes.
Incorporer la pâte de tomates. Cuire 2 à 3 minutes.
Incorporer le poulet et les haricots noirs. Saler. Ajouter la moitié du jus et du zeste de lime.
Ajouter la moitié du bouillon de poulet. Amener à ébullition et laisser mijoter. Laisser réduire le bouillon de moitié. Ajouter le reste du bouillon et laisser mijoter de 20 à 30 minutes.
Griller les tortillas sur une plaque chauffante ou un gril.
Combiner le zeste et le jus de lime à la crème sure pour faire une crème de lime.
Repartir la garniture sur les tortillas. Garnir de crème de lime, de grignotines CHEETOS CROQUANT<sup>®</sup> Enflammé hachées et de feuilles de coriandre.
"
4012,Nachos CHEETOS<sup>®</sup> épicés,Cheetos Crunchy.png ,Cheetos Crunchy Flamin Hot.png,,,,Spicy Cheetos Nachos1920x715.jpg,Spicy Cheetos Nachos400x220.jpg,"Les grignotines CHEETOS<sup>®</sup> sont les nouvelles chips tortilla. Ces « nachos » sont enrobés de sauce ragù épicée à la saucisse et de fromage crémeux, puis ils sont garnis de laitue croquante, de tomates, de jalapeños et nappés de crème sure.","1 sac de 285 g de grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> Grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> Enflammé pour la garniture
1 oignon coupé en dés de 1 pouce
 1/2 petit bulbe de fenouil, les parties coriaces (dessus et centre) retirées, coupé en dés de 1 pouce 
1 branche de céleri, coupée en dés de 1 pouce 
3 gousses d’ail, écrasées
Huile d’olive extra-vierge
Sel casher
1 tasse de pâte de tomate
1 tasse de vin rouge corsé
 1/2 livre de saucisses italiennes douces, la peau retirée
 1/2 livre de saucisses italiennes fortes, la peau retirée
1 feuille de laurier
1 bouquet de thym, noué avec de la corde de boucher
2 c. à table de beurre
2 c. à table de farine
2 tasses de lait
3 tasses de fromage Fontina râpé
2 tasses de laitue Iceberg, taillée en chiffonnade de  1/2 pouce
2 tomates Beefsteak, coupées en dés de  1/2 pouce
 1/2 tasse de jalapeños marinés
 1/2 tasse de crème sure
4 oignons verts tranchés finement en biais
","Sauce ragù :
Réduire en purée les oignons, le fenouil, le céleri et l’ail pour former une pâte épaisse.
Enduire une grande casserole profonde d’huile d’olive, ajouter la purée de légumes, saler et chauffer à feu moyen élevé. Cuire les légumes environ 30 minutes, jusqu’à ce que tout le liquide se soit évaporé. Remuer à l’occasion.
Lorsque le mélange au fond de la casserole aura bruni, ajouter la pâte de tomates et mélanger. Laisser brunir un peu et continuer à remuer 2 ou 3 minutes.
Ajouter le vin, bien mélanger et gratter le fond pour incorporer tous les résidus.
Ajouter les saucisses douces et fortes. À l’aide d’une cuillère, défaire les saucisses et cuire la chair jusqu’à ce qu’elle soit brune, de 10 à 15 minutes.
Ajouter assez d’eau dans la casserole pour couvrir la viande d’environ  1/2 pouce. Bien mélanger.
Ajouter la feuille de laurier et le bouquet de thym. Saler. Porter la sauce à ébullition, réduire le feu et laisser mijoter. Poursuivre la cuisson 3 heures. Goûter, assaisonner et ajouter de l’eau au besoin.
 
Sauce au fromage :
Dans une casserole, faire fondre le beurre et incorporer la farine avec un fouet. Faire cuire 3 à 4 minutes.
Ajouter le lait en fouettant et porter le mélange à ébullition. Laisser mijoter et faire cuire 8 à 10 minutes.
Incorporer le fromage en fouettant. Saler.
 
Assemblage :
Allumer l’élément du haut dans le four.
Vider le sac de grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> dans un plat allant au four assez grand pour y déposer le contenu d’un sac entier en une seule couche.
À l’aide d’une cuillère, verser une couche épaisse de sauce ragù à la saucisse sur les grignotines CHEETOS CROQUANT<sup>®</sup>. Verser la sauce au fromage sur la sauce ragù. Placer le plat sous le gril jusqu'à ce que le fromage commence à brunir sur le dessus.
Garnir de laitue, de tomates, de jalapeños, de crème sure, d’oignons verts et de grignotines CHEETOS CROQUANT<sup>®</sup> Enflammé.
"
4013,Cornichons frits en croûte de CHEETOS<sup>®</sup> et sauce Ranch crémeuse,Cheetos Puffs.png,,,,,Cheetos Crusted Fried Pickles + Creamy Ranch1920x715.jpg,Cheetos Crusted Fried Pickles + Creamy Ranch400x220.jpg,"Le moment est venu de vous salir les pattes! Ces cornichons frits en croûte de CHEETOS<sup>®</sup> sont faits pour être trempés dans une sauce maison Ranch crémeuse. Nous vous encourageons à vous servir de vos mains, ou pattes, pour les manger.","1  1/2 tasse de grignotines à saveur de fromage CHEETOS<sup>®</sup> Soufflés, réduites en chapelure
1 tasse de mayonnaise
 1/2 tasse de crème sure
1 c. à thé de poudre d’ail
1 c. à thé de poudre d’oignon 
1 c. à table de ciboulette hachée
1 c. à table de persil haché
2 c. à thé d’aneth haché
 1/2 c. à thé de sel de céleri
2 c. à thé de jus de citron fraîchement pressé
2 c. à table de lait, plus si nécessaire
Sel casher
2 gros cornichons coupés en tranches de  1/2 pouce d’épaisseur 
1 tasse de farine
3 œufs, battus ensemble avec une c. à table d’eau jusqu’à homogénéité
1 tasse de chapelure
","Combiner la mayonnaise, la crème sure, la poudre d’ail, la poudre d’oignon, la ciboulette, le persil, l’aneth et le sel de céleri. Assaisonner de sel casher.
Assécher les cornichons.
Suivre les étapes habituelles de panure : (a) 1 tasse de farine, (b) le mélange d’œufs, (c) la chapelure et (d) 1 tasse de miettes de CHEETOS<sup>®</sup> (réserver  1/2 tasse).
Suivre toutes ces étapes pour paner les cornichons et réfrigérer le mélange 1 heure.
Frire les cornichons jusqu’à ce qu’ils soient dorés et croustillants. Ajouter les miettes de CHEETOS<sup>®</sup> et servir avec la sauce Ranch.  
"
4014,Steak CHEETOS<sup>®</sup> Alarme d’incendie,Cheetos Crunchy.png,Cheetos Puffs.png,,,,Five-Alarm Cheetos Steak1920x715.jpg,Five-Alarm Cheetos Steak400x220.jpg,"Qu’obtient-on en combinant la meilleure coupe de viande au goût intense des grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> Cheddar Jalapeño? Ce succulent faux filet de 8 onces, assaisonné de grignotines CHEETOS CROQUANT<sup>®</sup> à saveur de Cheddar Jalapeño accompagné de riz fromagé. On serait fou de ne pas y goûter.","1 tasse de grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> Cheddar Jalapeño émiettées
2 tasses de grignotines à saveur de fromage CHEETOS<sup>®</sup> Soufflés émiettées
4 steaks de faux filet de 8 oz
Sel, au goût
Poivre, au goût
Quelques jalapeños entiers
Huile
Beurre non salé

Riz au beurre fromagé
2 tasses de riz non cuit
2 c. à table de beurre
1 tasse de fromage pasteurisé (exemple, fromage à nachos)
","Mélanger le sel, le poivre et une tasse de grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> Cheddar Jalapeño émiettées dans un petit bol.
Assaisonner les steaks des deux côtés avec un filet d’huile et le mélange de sel, de poivre et de grignotines CHEETOS CROQUANT<sup>®</sup> Cheddar Jalapeño émiettées.
Griller à feu vif jusqu'à l’obtention d’une cuisson mi-saignante, environ 4 minutes de chaque côté.
Ajouter une pincée de grignotines CHEETOS CROQUANT<sup>®</sup> Cheddar Jalapeño et CHEETOS<sup>®</sup> Soufflés émiettées au beurre pour rendre ce plat Dangereusement fromagé<sup>®</sup>!
Verser le beurre sur les steaks et ajouter encore des assaisonnements.
Cuire les 2 tasses de riz.
Mélanger le riz avec le beurre, les 2 tasses de grignotines CHEETOS<sup>®</sup> Soufflés émiettées et le fromage pasteurisé. Servir à côté des steaks.
Griller les jalapeños ou les savourer crus en accompagnement.
"
4015,Bol de riz aux CHEETOS CROQUANT<sup>®</sup> Enflammé,Cheetos Crunchy Flamin Hot.png,,,,,Cheetos FH Rice Bowl1920x715.jpg,Cheetos FH Rice Bowl400x220.jpg,"Prêt à cracher du feu? Ce bol repas est fait d’un mélange de poulet mariné grillé ou de brocoli, de riz, de grignotines CHEETOS CROQUANT<sup>®</sup> ENFLAMMÉ, de sauce chili à la crème sure, de coriandre et de graines de sésame grillées. Attention : Ce plat vous donnera chaud, chaud, chaud.","1 sac de 285 g de grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> Enflammé émiettées 
4 tasses de crème sure
1 lime
2 tasses de sauce sambal oelek
1 tasse de graines de sésame grillées, un peu plus pour la garniture
Sel
1 tasse de coriandre hachée, un peu plus pour la garniture
2 livres de poulet, viande brune
(Pour un bol repas végétarien, remplacer le poulet par 2,5 tasses de brocoli cuit)
Poivre
1 oignon tranché mince
2 c. à table d’huile
2 tasses de riz à grains courts non cuit
4 c. à table de sauce chili thaï sucrée et épicée
","Préparer la sauce chili à la crème sure : dans un grand bol, mélanger la crème sure, la lime, la sauce sambal oelek, les graines de sésame, le sel et la coriandre hachée. Réserver.
Cuire deux tasses de riz.
Assaisonner et griller le poulet jusqu’à ce qu’il soit bien cuit, environ 8 minutes, puis hacher.
Chauffer l’huile à feu moyen dans une casserole antiadhésive et ajouter les oignons.
Saler et poivrer au goût et caraméliser les oignons en remuant pendant environ 5 minutes.
Mettre le riz, le poulet cuit et les oignons caramélisés dans un grand bol.
À l’aide d’une cuillère, napper de sauce chili à la crème sure et garnir de graines de sésame, de coriandre et de grignotines CHEETOS CROQUANT<sup>®</sup> Enflammé émiettées.
"
4016,Boulettes de viande CHEETOS CROQUANT<sup>®</sup> à la sauce chili sucrée et épicée,Cheetos Crunchy Flamin Hot.png,,,,,Cheetos SweetNSpicy Chili Meatballs1920x715.jpg,Cheetos SweetNSpicy Chili Meatballs400x220.jpg,De succulentes boulettes épicées! Ces boulettes de porc et bœuf aux CHEETOS CROQUANT<sup>®</sup> ENFLAMMÉ servies dans une sauce chili sucrée et épicée ajouteront de la saveur à votre vie. Et à votre assiette. Vous comprenez.,"1 tasse de grignotines à saveur de fromage CHEETOS CROQUANT Enflammé réduites en poudre 
8 oz de porc haché
8 oz de bœuf haché
2 tasses d’oignons verts émincés
3 œufs
2 c. à table d’ail émincé
Pincée de sel et de poivre
4 c. à table de piment chipotle haché avec sauce adobo
Sauce chili douce 
","Chauffer le four à 300 ºF.
Dans un grand bol, mélanger le porc, le bœuf, les oignons verts, les œufs, l’ail émincé, le sel, le poivre et les piments chipotle.
Façonner des boulettes de 1 pouce et les déposer sur une plaque à cuisson.
Cuire 30 à 40 minutes, jusqu’à ce qu’elles soient luisantes.
Enrober les boulettes directement sorties du four de poudre de CHEETOS CROQUANT<sup>®</sup> Enflammé<sup>®</sup> (aussi appelée « CheetleMC »!)
Verser un filet de sauce chili douce sur les boulettes et à côté.
 
LE SAVIEZ-VOUS? Cette délicieuse poudre fromagée qui recouvre vos doigts lorsque vous savourez vos Cheetos s’appelle « poudre CHEETLEMC »!
"
4017,Burrito aux CHEETOS<sup>®</sup> Enflammé,Cheetos Crunchy Flamin Hot.png,,,,,Cheetos FH Burrito1920x715.jpg,Cheetos FH Burrito400x220.jpg,"Toutes vos saveurs préférées RÉUNIES dans un burrito extrapiquant. Des grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> ENFLAMMÉ, des bouts de côtes ou de l’avocat, du fromage, et encore plus de fromage, et de la sauce chili à la crème sure, dans une seule bouchée. Le moment est venu de vous salir les pattes!","1 sac de 285 g de grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> Enflammé 
 
Marinade pour les bouts de côtes 
1 tasse de sauce soya
 1/2 oignon haché
 1/2 tasse d’ail
1 tasse d’oignons verts
 1/2 tasse de Mirin
1 tasse de jus d’orange sans pulpe
 1/4 tasse de sucre
 1/2 tasse d’huile de sésame
 1/2 tasse de pommes ou de poires
3 c. à table de graines de sésame grillées
Fromage cheddar râpé
Grandes tortillas à la farine
5 livres de bouts de côtes
Pour un burrito végétarien, remplacer les bouts de côtes par deux avocats
4 tasses de crème sure
1 lime
2 tasses de sauce sambal oelek
1 tasse de graines de sésame grillées, plus pour la garniture
Pincée de sel
1 tasse de coriandre hachée, plus pour la garniture
","Réduire les ingrédients de la marinade en purée.
Mettre la marinade et les bouts de côtes dans un grand bol. Couvrir et mariner au moins deux heures.
Griller les bouts de côtes marinés 15 à 20 minutes, ou jusqu’à ce que la température interne atteigne 130 °F, puis hacher la viande.
Mélanger la crème sure, la lime, la sauce sambal oelek, les graines de sésame, le sel et la coriandre hachée. Réserver.
Au mélangeur, réduire en poudre les grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> Enflammé. Réserver.
Déposer les bouts de côtes ou les avocats sur une tortilla de farine de 12 pouces légèrement grillée.
Couvrir de fromage râpé et saupoudrer le dessus d’une bonne poignée de poudre de CHEETOS CROQUANT<sup>®</sup> Enflammé à saveur de fromage.
Napper de 2/3 de tasse de sauce chili à la crème sure et de votre sauce piquante préférée.
"
4018,Sandwich grillé au fromage + soupe aux tomates aux CHEETOS<sup>®</sup>,Cheetos Crunchy Cheddar Jalapeno.png,,,,,Cheetos Grilled Cheese + Tomato Soup1920x715.jpg,Cheetos Grilled Cheese + Tomato Soup400x220.jpg,"Un plat familier, délicieux et réconfortant qui réchauffera le cœur des amateurs de CHEETOS<sup>®</sup> : une soupe consistante aux tomates et aux grignotines CHEETOS<sup>®</sup> et de petits sandwichs grillés au fromage garnis de bacon, de tomates et de grignotines CHEETOS<sup>®</sup> fromagées.","1  1/4 tasse de grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> Cheddar Jalapeño hachées grossièrement
 1/2 tasse d’huile d’olive extra-vierge
1 gros oignon rouge
Pincée de piment de Cayenne broyé
3 gousses d’ail
1 tasse de vin blanc
2 livres de tomates mûres
10 feuilles de basilic, taillées en chiffonnade
2 tasses de jus de tomate
2 tasses de pain italien de la veille, sans croûtes, coupé en cubes
1  1/2 tasse de grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup>
Huile d’olive de bonne qualité pour la finition
16 tranches de bacon
8 tranches de tomates Beefsteak,  1/4 de pouce d’épaisseur
2  1/2 tasses de fromage cheddar râpé grossièrement
1  1/2 tasse de mayonnaise
8 tranches de pain sandwich blanc ou au levain
8 cubes de cheddar jaune
4 cubes de cheddar blanc
12 tranches de jalapeños marinés
8 tomates cerises
4 grignotines à saveur de fromage CHEETOS<sup>®</sup> Soufflés entières
4 branches de basilic
","Enduire une grande casserole d’huile d’olive et chauffer à feu moyen. Ajouter les oignons. Assaisonner de sel et de piments broyés. Cuire les oignons de 8 à 10 minutes, jusqu’à ce qu’ils soient tendres. Ajouter l’ail écrasé et haché finement et cuire 2 à 3 minutes.
Ajouter le vin et laisser réduire de moitié.
Incorporer les tomates et saler. Cuire jusqu’à ce que les tomates aient ramolli. Incorporer les feuilles de basilic entières.
Verser délicatement de petites quantités de soupe aux tomates dans le mélangeur et réduire en une purée lisse. Remettre la soupe dans la casserole.
En mélangeant, ajouter le pain et 1 tasse de grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> hachées grossièrement et cuire la soupe à feu moyen jusqu’à ce que le pain et les grignotines CHEETOS CROQUANT<sup>®</sup> aient perdu leur forme. Rectifier l’assaisonnement au besoin.
Servir la soupe dans une tasse avec le rebord recouvert de grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> réduites en poudre. Garnir la soupe de la chiffonnade de basilic et d’un filet d’huile.
 
Garnitures pour la soupe aux tomates :
Brochette 1 : (de bas en haut)
        a. Cube de cheddar jaune
        b. Tranche de jalapeño
        c. Cube de cheddar blanc
        d. Tranche de jalapeño
        e. Cube de cheddar jaune
Brochette 2 : (de bas en haut)
        a. Tomate cerise
        b. Grignotines à saveur de fromage CHEETOS<sup>®</sup> Soufflés
        c. Tomate cerise
Insérer une tranche de bacon croustillant entre les brochettes dans la tasse.
Garnir d’une branche de basilic et de basilic haché. 
 
Sandwich grillé au fromage
Cuire 12 tranches de bacon jusqu’à ce qu’elles soient croustillantes, mais encore légèrement souples.
Étendre uniformément la mayonnaise sur 1 côté des 4 tranches de pain. Placer le pain avec le côté garni de mayonnaise vers le bas. Garnir chaque tranche de pain d’une fine couche de fromage râpé. Déposer 3 tranches de bacon sur le fromage. Déposer 2 tranches de tomate sur chaque sandwich.
Saupoudrer le reste de fromage sur chaque sandwich. Saupoudrer chaque sandwich de grignotines CHEETOS CROQUANT<sup>®</sup> Cheddar Jalapeño hachées et couvrir avec les dernières tranches de pain. Étendre une fine couche de mayonnaise sur chaque sandwich et presser.
Cuire les sandwichs sur une plaque chauffante ou dans un poêlon jusqu’à ce qu’ils soient dorés et croquants de chaque côté et que le fromage ait fondu. Couper les sandwichs en trois.
Servir les sandwichs chauds accompagnés de la soupe aux tomates.
"
4019,Gratin de pommes de terre « enflammé »,Cheetos Crunchy Flamin Hot.png,,30 min,1 h 10 min,,FH Scalloped Potatoes-074-1920x625.jpg,FH Scalloped Potatoes-074-400x220.jpg,"Cette version « enflammée » du gratin de pommes de terre classique est fromagée, crémeuse et, mieux encore, épicée!","3 tasses de grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> Enflammé, divisées
 1/2 tasse de chapelure
 1/4 tasse de beurre, divisé
2 oignons tranchés finement
2 c. à table de thym frais haché finement
 1/2 c. à thé de sel et de poivre
4 c. à thé de farine tout usage
2 tasses de cheddar vieilli
 1/2 tasse de parmesan râpé
2 tasses de crème 35 %
3 lb de pommes de terre pelées et tranchées minces
","Préchauffer le four à 400 °F. Au robot culinaire, émietter légèrement les grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> Enflammé. Dans un bol, mélanger 3/4 de tasse des CHEETOS<sup>®</sup> émiettées et la chapelure. Faire fondre 2 c. à table de beurre; verser dans le bol et mélanger. Réserver.
Faire fondre le reste du beurre dans une grande poêle à feu moyen; cuire les oignons avec le thym, le sel et le poivre de 5 à 8 minutes ou jusqu’à ce qu’ils soient tendres. 
Étendre le tiers des pommes de terre, en les intercalant légèrement, dans un plat à cuisson graissé de 13 x 9 po. Les parsemer uniformément de la moitié de ces ingrédients : mélange d’oignons, farine, cheddar, 2  1/4 tasses de CHEETOS<sup>®</sup> émiettées et parmesan. Verser la moitié de la crème sur le dessus. Répéter cette étape une deuxième fois. 
Étendre le dernier tiers des pommes de terre. Parsemer du mélange réservé de CHEETOS<sup>®</sup> et de chapelure. 
Recouvrir de papier d’aluminium. Cuire 45 à 50 minutes ou jusqu’à ce que les pommes de terre soient tendres et croustillantes. Retirer le papier d’aluminium. Poursuivre la cuisson 15 à 18 minutes ou jusqu’à ce que le dessus soit doré, que le liquide soit épais et bouillonnant et que les pommes de terre soient tendres. Laisser reposer 15 minutes avant de trancher.

Astuces : 
• Parsemez de ciboulette fraîche hachée finement avant de servir, si vous le désirez.
• Pour des tranches de pommes de terre minces et uniformes, utilisez une mandoline plutôt qu‘un couteau
"
4020,Dinde et farce « enflammées » pour l’Action de grâce entre amis,Cheetos Crunchy Flamin Hot.png,,1 h,2 h 30 mins,,FH Turkey and Stuffing-067_1920x625.jpg,FH Turkey and Stuffing-061_400x220.jpg,"À l’Action de grâce, vos amis vous décerneront le titre du plus précieux des amis grâce à cette recette de dinde et farce « enflammées » – Une recette qui ajoutera du piquant à cette journée toute spéciale!","Dinde « Enflammée » 

2 tasses de grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> Enflammé
1 tasse de chips tortilla aromatisées DORITOS<sup>®</sup> Enflammé Nacho 
1 tasse de croustilles RUFFLES<sup>®</sup> Enflammé Bar-B-Q 
1 dinde de 12 à 14 lb
2 oignons en dés
2 carottes en dés
2 branches de céleri en dés
1 bulbe d’ail coupé en deux
 1/2 tasse de beurre non salé, ramolli 
1 branche de sauge, de thym et de romarin frais 
2 tasses de bouillon de dinde
4 c. à thé de fécule de maïs

Farce au bacon et fromage « Enflammée »

4 tranches de bacon en dés
 1/4 tasse de beurre
1 oignon en dés
2 branches de céleri en dés
1 poivron rouge en dés
2 piments jalapeño épépinés, en dés
 1/4 tasse de sauge fraîche finement hachée
2 c. à table de thym et de romarin frais chacun, finement hachés
4 gousses d’ail émincées
5 tasses de pain de la veille en cubes
1 tasse de grignotines à saveur de fromage CHEETOS<sup>®</sup> CROQUANT<sup>®</sup> Enflammé
1 tasse de chips tortilla aromatisées DORITOS<sup>®</sup> Enflammé Nacho 
1 tasse de croustilles RUFFLES<sup>®</sup> Enflammé Bar-B-Q 
2 œufs légèrement battus
2 tasses de cheddar râpé
 1/4 tasse de parmesan 
","Dinde « Enflammée » : Préchauffer le four à 400 °F. Au robot culinaire, moudre finement les grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> Enflammé, les chips tortilla aromatisées DORITOS<sup>®</sup> Enflammé Nacho et les croustilles RUFFLES<sup>®</sup> Enflammé Bar-B-Q.
Retirer les abats et le cou de la dinde. Les déposer dans une rôtissoire et y ajouter les oignons, les carottes, le céleri et l’ail. Éponger la peau de la dinde avec du papier absorbant. Enrober la dinde de beurre (sans oublier d’en mettre dans la cavité et sous la peau); assaisonner la dinde du mélange moulu Enflammé (sans oublier d’en mettre dans la cavité et sous la peau). Insérer les branches de sauge, de thym et de romarin dans la cavité. Ficeler les cuisses de la dinde et replier le bout des ailes. Déposer la dinde, poitrine vers le haut, dans une rôtissoire munie d’une grille. 
Faire rôtir 15 minutes au bas du four, puis réduire la chaleur à 350 °F. Poursuivre la cuisson de 1 h 30 à 2 h ou jusqu’à ce que le thermomètre à viande inséré dans la partie la plus épaisse de l’intérieur de la cuisse indique 165 °F. Si la dinde brunit trop rapidement, la couvrir de papier d’aluminium. 
Retirer la ficelle, déposer la dinde sur un plat de service et laisser reposer 30 minutes. 
Écumer le gras du jus de cuisson dans la rôtissoire et le réserver pour la farce.
Entre-temps, faire chauffer la rôtissoire et son contenu (légumes, cou et abats) sur la cuisinière à feu moyen. Incorporer le bouillon de dinde et bien gratter le fond de la rôtissoire; porter à ébullition. À l’aide d’un fouet, mélanger 1/3 de tasse d’eau avec la fécule de maïs et verser graduellement dans la rôtissoire; porter à ébullition. Réduire le feu à moyen doux; laisser mijoter de 10 à 15 minutes ou jusqu’à ce que le liquide épaississe. Tamiser avant de servir.
Farce au bacon et fromage « Enflammée » : Faire chauffer une grande poêle à frire à feu moyen; y cuire le bacon de 3 à 5 minutes ou jusqu’à ce que les bords commencent à brunir. Incorporer le beurre. Ajouter l’oignon, le céleri, le poivron rouge, les piments jalapeños, la sauge, le thym, le romarin et l’ail; faire cuire de 5 à 8 minutes ou jusqu’à ce que mélange soit légèrement ramolli. Laisse refroidir complètement.
Mélanger les cubes de pain, les grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> Enflammé, les chips tortilla aromatisées DORITOS<sup>®</sup> Enflammé Nacho, les croustilles RUFFLES<sup>®</sup> Enflammé Bar-B-Q et le mélange au bacon. Incorporer les œufs, le cheddar et le parmesan (la farce doit être humectée, mais pas détrempée).
Déposer la farce dans un plat à cuisson graissé de 13 x 9 po. Arroser du jus de cuisson réservé. Couvrir d’un papier d’aluminium. Cuire au four à 375 °F de 30 à 40 minutes ou jusqu’à ce que la farce soit chaude.
10. Trancher la dinde et la servir avec la farce et la sauce.

Astuce : Pour accompagner la dinde d’une sauce aux canneberges sucrée et piquante, ajoutez-y des grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> Enflammé réduites en poudre, au goût."
